
****** PrimeSim HSPICE -- W-2024.09-SP2-2 linux64 (Apr 30 2025 9758346) ******
  
 * hspice options

 ****** circuit name directory
 circuit number to circuit name directory
   number circuitname                     definition         multiplier
        0 main circuit
        1 xnmos.                          abnmos             1.00 
        2 xnmos.xm1.                      sky130_fd_pr__nfet_01v8
                                                                 1.00 
 ******  
 * hspice options

 
 *****************************************************************
 ******  option summary
 ******
 runlvl  = 5         bypass  = 2.0000    
  Opening plot unit= 15
 file=nfetdc.pa0

 ******
 * hspice options

 ****** dc transfer curves tnom=  25.000 temp=  25.000 ******
x

 volt         voltage    current    current    current   
             ng         vg_sense   vd_sense   vs_sense   
  178.20000m  178.2000m    0.        17.4319p   15.6104p 
  180.00000m  180.0000m    0.        18.1336p   16.3117p 
  181.80000m  181.8000m    0.        18.8669p   17.0444p 
  183.60000m  183.6000m    0.        19.6331p   17.8101p 
  185.40000m  185.4000m    0.        20.4337p   18.6101p 
  187.20000m  187.2000m    0.        21.2703p   19.4461p 
  189.00000m  189.0000m    0.        22.1444p   20.3196p 
  190.80000m  190.8000m    0.        23.0578p   21.2323p 
  192.60000m  192.6000m    0.        24.0122p   22.1860p 
  194.40000m  194.4000m    0.        25.0094p   23.1825p 
  196.20000m  196.2000m    0.        26.0514p   24.2237p 
  198.00000m  198.0000m    0.        27.1402p   25.3117p 
  199.80000m  199.8000m    0.        28.2779p   26.4485p 
  201.60000m  201.6000m    0.        29.4666p   27.6364p 
  203.40000m  203.4000m    0.        30.7087p   28.8776p 
  205.20000m  205.2000m    0.        32.0065p   30.1745p 
  207.00000m  207.0000m    0.        33.3626p   31.5296p 
  208.80000m  208.8000m    0.        34.7796p   32.9455p 
  210.60000m  210.6000m    0.        36.2602p   34.4250p 
  212.40000m  212.4000m    0.        37.8072p   35.9709p 
  214.20000m  214.2000m    0.        39.4237p   37.5862p 
  216.00000m  216.0000m    0.        41.1126p   39.2739p 
  217.80000m  217.8000m    0.        42.8774p   41.0374p 
  219.60000m  219.6000m    0.        44.7214p   42.8801p 
  221.40000m  221.4000m    0.        46.6481p   44.8054p 
  223.20000m  223.2000m    0.        48.6613p   46.8171p 
  225.00000m  225.0000m    0.        50.7648p   48.9190p 
  226.80000m  226.8000m    0.        52.9627p   51.1153p 
  228.60000m  228.6000m    0.        55.2592p   53.4101p 
  230.40000m  230.4000m    0.        57.6587p   55.8079p 
  232.20000m  232.2000m    0.        60.1659p   58.3132p 
  234.00000m  234.0000m    0.        62.7855p   60.9310p 
  235.80000m  235.8000m    0.        65.5227p   63.6661p 
  237.60000m  237.6000m    0.        68.3826p   66.5239p 
  239.40000m  239.4000m    0.        71.3708p   69.5099p 
  241.20000m  241.2000m    0.        74.4930p   72.6299p 
  243.00000m  243.0000m    0.        77.7552p   75.8897p 
  244.80000m  244.8000m    0.        81.1637p   79.2957p 
  246.60000m  246.6000m    0.        84.7251p   82.8545p 
  248.40000m  248.4000m    0.        88.4462p   86.5728p 
  250.20000m  250.2000m    0.        92.3341p   90.4579p 
  252.00000m  252.0000m    0.        96.3963p   94.5172p 
  253.80000m  253.8000m    0.       100.6406p   98.7584p 
  255.60000m  255.6000m    0.       105.0752p  103.1898p 
  257.40000m  257.4000m    0.       109.7086p  107.8198p 
  259.20000m  259.2000m    0.       114.5497p  112.6573p 
  261.00000m  261.0000m    0.       119.6078p  117.7117p 
  262.80000m  262.8000m    0.       124.8925p  122.9926p 
  264.60000m  264.6000m    0.       130.4141p  128.5101p 
  266.40000m  266.4000m    0.       136.1831p  134.2749p 
  268.20000m  268.2000m    0.       142.2106p  140.2980p 
  270.00000m  270.0000m    0.       148.5082p  146.5910p 
  271.80000m  271.8000m    0.       155.0879p  153.1659p 
  273.60000m  273.6000m    0.       161.9624p  160.0354p 
  275.40000m  275.4000m    0.       169.1448p  167.2126p 
  277.20000m  277.2000m    0.       176.6490p  174.7112p 
  279.00000m  279.0000m    0.       184.4892p  182.5457p 
  280.80000m  280.8000m    0.       192.6805p  190.7310p 
  282.60000m  282.6000m    0.       201.2387p  199.2829p 
  284.40000m  284.4000m    0.       210.1800p  208.2177p 
  286.20000m  286.2000m    0.       219.5217p  217.5526p 
  288.00000m  288.0000m    0.       229.2815p  227.3053p 
  289.80000m  289.8000m    0.       239.4783p  237.4946p 
  291.60000m  291.6000m    0.       250.1314p  248.1400p 
  293.40000m  293.4000m    0.       261.2614p  259.2618p 
  295.20000m  295.2000m    0.       272.8894p  270.8813p 
  297.00000m  297.0000m    0.       285.0377p  283.0208p 
  298.80000m  298.8000m    0.       297.7296p  295.7033p 
  300.60000m  300.6000m    0.       310.9892p  308.9533p 
  302.40000m  302.4000m    0.       324.8420p  322.7960p 
  304.20000m  304.2000m    0.       339.3144p  337.2578p 
  306.00000m  306.0000m    0.       354.4340p  352.3663p 
  307.80000m  307.8000m    0.       370.2297p  368.1505p 
  309.60000m  309.6000m    0.       386.7316p  384.6404p 
  311.40000m  311.4000m    0.       403.9713p  401.8675p 
  313.20000m  313.2000m    0.       421.9816p  419.8646p 
  315.00000m  315.0000m    0.       440.7969p  438.6661p 
  316.80000m  316.8000m    0.       460.4530p  458.3079p 
  318.60000m  318.6000m    0.       480.9875p  478.8273p 
  320.40000m  320.4000m    0.       502.4393p  500.2635p 
  322.20000m  322.2000m    0.       524.8494p  522.6572p 
  324.00000m  324.0000m    0.       548.2605p  546.0512p 
  325.80000m  325.8000m    0.       572.7170p  570.4899p 
  327.60000m  327.6000m    0.       598.2656p  596.0198p 
  329.40000m  329.4000m    0.       624.9548p  622.6895p 
  331.20000m  331.2000m    0.       652.8354p  650.5497p 
  333.00000m  333.0000m    0.       681.9603p  679.6533p 
  334.80000m  334.8000m    0.       712.3849p  710.0556p 
  336.60000m  336.6000m    0.       744.1669p  741.8144p 
  338.40000m  338.4000m    0.       777.3667p  774.9900p 
  340.20000m  340.2000m    0.       812.0473p  809.6452p 
  342.00000m  342.0000m    0.       848.2744p  845.8458p 
  343.80000m  343.8000m    0.       886.1167p  883.6605p 
  345.60000m  345.6000m    0.       925.6460p  923.1609p 
  347.40000m  347.4000m    0.       966.9370p  964.4218p 
  349.20000m  349.2000m    0.         1.0101n    1.0075n 
  351.00000m  351.0000m    0.         1.0551n    1.0525n 
  352.80000m  352.8000m    0.         1.1022n    1.0996n 
  354.60000m  354.6000m    0.         1.1513n    1.1487n 
  356.40000m  356.4000m    0.         1.2027n    1.2000n 
  358.20000m  358.2000m    0.         1.2563n    1.2536n 
  360.00000m  360.0000m    0.         1.3123n    1.3096n 
  361.80000m  361.8000m    0.         1.3708n    1.3680n 
  363.60000m  363.6000m    0.         1.4319n    1.4291n 
  365.40000m  365.4000m    0.         1.4958n    1.4929n 
  367.20000m  367.2000m    0.         1.5624n    1.5595n 
  369.00000m  369.0000m    0.         1.6321n    1.6291n 
  370.80000m  370.8000m    0.         1.7048n    1.7017n 
  372.60000m  372.6000m    0.         1.7808n    1.7776n 
  374.40000m  374.4000m    0.         1.8601n    1.8569n 
  376.20000m  376.2000m    0.         1.9429n    1.9397n 
  378.00000m  378.0000m    0.         2.0295n    2.0262n 
  379.80000m  379.8000m    0.         2.1199n    2.1165n 
  381.60000m  381.6000m    0.         2.2142n    2.2108n 
  383.40000m  383.4000m    0.         2.3128n    2.3093n 
  385.20000m  385.2000m    0.         2.4157n    2.4122n 
  387.00000m  387.0000m    0.         2.5233n    2.5196n 
  388.80000m  388.8000m    0.         2.6355n    2.6318n 
  390.60000m  390.6000m    0.         2.7528n    2.7490n 
  392.40000m  392.4000m    0.         2.8752n    2.8713n 
  394.20000m  394.2000m    0.         3.0031n    2.9991n 
  396.00000m  396.0000m    0.         3.1366n    3.1325n 
  397.80000m  397.8000m    0.         3.2760n    3.2718n 
  399.60000m  399.6000m    0.         3.4216n    3.4173n 
  401.40000m  401.4000m    0.         3.5736n    3.5692n 
  403.20000m  403.2000m    0.         3.7324n    3.7279n 
  405.00000m  405.0000m    0.         3.8982n    3.8935n 
  406.80000m  406.8000m    0.         4.0712n    4.0665n 
  408.60000m  408.6000m    0.         4.2520n    4.2471n 
  410.40000m  410.4000m    0.         4.4407n    4.4356n 
  412.20000m  412.2000m    0.         4.6377n    4.6325n 
  414.00000m  414.0000m    0.         4.8434n    4.8381n 
  415.80000m  415.8000m    0.         5.0582n    5.0527n 
  417.60000m  417.6000m    0.         5.2825n    5.2768n 
  419.40000m  419.4000m    0.         5.5166n    5.5107n 
  421.20000m  421.2000m    0.         5.7610n    5.7550n 
  423.00000m  423.0000m    0.         6.0162n    6.0100n 
  424.80000m  424.8000m    0.         6.2826n    6.2762n 
  426.60000m  426.6000m    0.         6.5607n    6.5541n 
  428.40000m  428.4000m    0.         6.8511n    6.8443n 
  430.20000m  430.2000m    0.         7.1542n    7.1471n 
  432.00000m  432.0000m    0.         7.4706n    7.4633n 
  433.80000m  433.8000m    0.         7.8008n    7.7933n 
  435.60000m  435.6000m    0.         8.1456n    8.1378n 
  437.40000m  437.4000m    0.         8.5055n    8.4974n 
  439.20000m  439.2000m    0.         8.8811n    8.8728n 
  441.00000m  441.0000m    0.         9.2732n    9.2646n 
  442.80000m  442.8000m    0.         9.6824n    9.6735n 
  444.60000m  444.6000m    0.        10.1095n   10.1003n 
  446.40000m  446.4000m    0.        10.5553n   10.5458n 
  448.20000m  448.2000m    0.        11.0205n   11.0107n 
  450.00000m  450.0000m    0.        11.5061n   11.4959n 
  451.80000m  451.8000m    0.        12.0128n   12.0022n 
  453.60000m  453.6000m    0.        12.5416n   12.5307n 
  455.40000m  455.4000m    0.        13.0935n   13.0821n 
  457.20000m  457.2000m    0.        13.6693n   13.6575n 
  459.00000m  459.0000m    0.        14.2703n   14.2580n 
  460.80000m  460.8000m    0.        14.8973n   14.8846n 
  462.60000m  462.6000m    0.        15.5516n   15.5384n 
  464.40000m  464.4000m    0.        16.2342n   16.2206n 
  466.20000m  466.2000m    0.        16.9465n   16.9323n 
  468.00000m  468.0000m    0.        17.6897n   17.6749n 
  469.80000m  469.8000m    0.        18.4650n   18.4497n 
  471.60000m  471.6000m    0.        19.2738n   19.2580n 
  473.40000m  473.4000m    0.        20.1177n   20.1012n 
  475.20000m  475.2000m    0.        20.9980n   20.9808n 
  477.00000m  477.0000m    0.        21.9163n   21.8984n 
  478.80000m  478.8000m    0.        22.8741n   22.8556n 
  480.60000m  480.6000m    0.        23.8733n   23.8540n 
  482.40000m  482.4000m    0.        24.9154n   24.8954n 
  484.20000m  484.2000m    0.        26.0024n   25.9816n 
  486.00000m  486.0000m    0.        27.1361n   27.1144n 
  487.80000m  487.8000m    0.        28.3184n   28.2959n 
  489.60000m  489.6000m    0.        29.5514n   29.5280n 
  491.40000m  491.4000m    0.        30.8373n   30.8129n 
  493.20000m  493.2000m    0.        32.1781n   32.1528n 
  495.00000m  495.0000m    0.        33.5763n   33.5500n 
  496.80000m  496.8000m    0.        35.0342n   35.0068n 
  498.60000m  498.6000m    0.        36.5543n   36.5258n 
  500.40000m  500.4000m    0.        38.1392n   38.1095n 
  502.20000m  502.2000m    0.        39.7915n   39.7606n 
  504.00000m  504.0000m    0.        41.5140n   41.4819n 
  505.80000m  505.8000m    0.        43.3097n   43.2763n 
  507.60000m  507.6000m    0.        45.1815n   45.1467n 
  509.40000m  509.4000m    0.        47.1327n   47.0964n 
  511.20000m  511.2000m    0.        49.1663n   49.1286n 
  513.00000m  513.0000m    0.        51.2859n   51.2467n 
  514.80000m  514.8000m    0.        53.4950n   53.4541n 
  516.60000m  516.6000m    0.        55.7971n   55.7545n 
  518.40000m  518.4000m    0.        58.1961n   58.1518n 
  520.20000m  520.2000m    0.        60.6959n   60.6498n 
  522.00000m  522.0000m    0.        63.3007n   63.2526n 
  523.80000m  523.8000m    0.        66.0145n   65.9645n 
  525.60000m  525.6000m    0.        68.8420n   68.7899n 
  527.40000m  527.4000m    0.        71.7876n   71.7334n 
  529.20000m  529.2000m    0.        74.8560n   74.7996n 
  531.00000m  531.0000m    0.        78.0523n   77.9936n 
  532.80000m  532.8000m    0.        81.3816n   81.3203n 
  534.60000m  534.6000m    0.        84.8490n   84.7853n 
  536.40000m  536.4000m    0.        88.4602n   88.3938n 
  538.20000m  538.2000m    0.        92.2208n   92.1517n 
  540.00000m  540.0000m    0.        96.1369n   96.0649n 
  541.80000m  541.8000m    0.       100.2144n  100.1394n 
  543.60000m  543.6000m    0.       104.4598n  104.3817n 
  545.40000m  545.4000m    0.       108.8796n  108.7984n 
  547.20000m  547.2000m    0.       113.4808n  113.3962n 
  549.00000m  549.0000m    0.       118.2703n  118.1822n 
  550.80000m  550.8000m    0.       123.2556n  123.1639n 
  552.60000m  552.6000m    0.       128.4442n  128.3487n 
  554.40000m  554.4000m    0.       133.8440n  133.7446n 
  556.20000m  556.2000m    0.       139.4631n  139.3596n 
  558.00000m  558.0000m    0.       145.3101n  145.2024n 
  559.80000m  559.8000m    0.       151.3936n  151.2814n 
  561.60000m  561.6000m    0.       157.7227n  157.6059n 
  563.40000m  563.4000m    0.       164.3068n  164.1852n 
  565.20000m  565.2000m    0.       171.1555n  171.0289n 
  567.00000m  567.0000m    0.       178.2788n  178.1470n 
  568.80000m  568.8000m    0.       185.6871n  185.5500n 
  570.60000m  570.6000m    0.       193.3912n  193.2485n 
  572.40000m  572.4000m    0.       201.4021n  201.2536n 
  574.20000m  574.2000m    0.       209.7312n  209.5766n 
  576.00000m  576.0000m    0.       218.3905n  218.2296n 
  577.80000m  577.8000m    0.       227.3920n  227.2246n 
  579.60000m  579.6000m    0.       236.7484n  236.5742n 
  581.40000m  581.4000m    0.       246.4729n  246.2916n 
  583.20000m  583.2000m    0.       256.5787n  256.3901n 
  585.00000m  585.0000m    0.       267.0799n  266.8837n 
  586.80000m  586.8000m    0.       277.9908n  277.7867n 
  588.60000m  588.6000m    0.       289.3262n  289.1138n 
  590.40000m  590.4000m    0.       301.1013n  300.8804n 
  592.20000m  592.2000m    0.       313.3319n  313.1022n 
  594.00000m  594.0000m    0.       326.0343n  325.7953n 
  595.80000m  595.8000m    0.       339.2251n  338.9766n 
  597.60000m  597.6000m    0.       352.9216n  352.6632n 
  599.40000m  599.4000m    0.       367.1417n  366.8730n 
  601.20000m  601.2000m    0.       381.9035n  381.6242n 
  603.00000m  603.0000m    0.       397.2260n  396.9356n 
  604.80000m  604.8000m    0.       413.1286n  412.8267n 
  606.60000m  606.6000m    0.       429.6312n  429.3174n 
  608.40000m  608.4000m    0.       446.7545n  446.4283n 
  610.20000m  610.2000m    0.       464.5195n  464.1805n 
  612.00000m  612.0000m    0.       482.9480n  482.5958n 
  613.80000m  613.8000m    0.       502.0624n  501.6964n 
  615.60000m  615.6000m    0.       521.8857n  521.5055n 
  617.40000m  617.4000m    0.       542.4415n  542.0464n 
  619.20000m  619.2000m    0.       563.7540n  563.3436n 
  621.00000m  621.0000m    0.       585.8482n  585.4220n 
  622.80000m  622.8000m    0.       608.7497n  608.3070n 
  624.60000m  624.6000m    0.       632.4847n  632.0249n 
  626.40000m  626.4000m    0.       657.0801n  656.6027n 
  628.20000m  628.2000m    0.       682.5637n  682.0680n 
  630.00000m  630.0000m    0.       708.9636n  708.4490n 
  631.80000m  631.8000m    0.       736.3090n  735.7749n 
  633.60000m  633.6000m    0.       764.6296n  764.0753n 
  635.40000m  635.4000m    0.       793.9560n  793.3806n 
  637.20000m  637.2000m    0.       824.3192n  823.7222n 
  639.00000m  639.0000m    0.       855.7514n  855.1319n 
  640.80000m  640.8000m    0.       888.2851n  887.6425n 
  642.60000m  642.6000m    0.       921.9538n  921.2872n 
  644.40000m  644.4000m    0.       956.7917n  956.1004n 
  646.20000m  646.2000m    0.       992.8338n  992.1169n 
  648.00000m  648.0000m    0.         1.0301u    1.0294u 
  649.80000m  649.8000m    0.         1.0687u    1.0679u 
  651.60000m  651.6000m    0.         1.1085u    1.1077u 
  653.40000m  653.4000m    0.         1.1498u    1.1489u 
  655.20000m  655.2000m    0.         1.1924u    1.1915u 
  657.00000m  657.0000m    0.         1.2364u    1.2355u 
  658.80000m  658.8000m    0.         1.2819u    1.2810u 
  660.60000m  660.6000m    0.         1.3290u    1.3280u 
  662.40000m  662.4000m    0.         1.3775u    1.3766u 
  664.20000m  664.2000m    0.         1.4277u    1.4267u 
  666.00000m  666.0000m    0.         1.4795u    1.4785u 
  667.80000m  667.8000m    0.         1.5330u    1.5319u 
  669.60000m  669.6000m    0.         1.5883u    1.5871u 
  671.40000m  671.4000m    0.         1.6453u    1.6441u 
  673.20000m  673.2000m    0.         1.7041u    1.7029u 
  675.00000m  675.0000m    0.         1.7648u    1.7635u 
  676.80000m  676.8000m    0.         1.8274u    1.8261u 
