
****** PrimeSim HSPICE -- W-2024.09-SP2-2 linux64 (Apr 30 2025 9758346) ******
  
 * hspice options

 ****** circuit name directory
 circuit number to circuit name directory
   number circuitname                     definition         multiplier
        0 main circuit
        1 xnmos.                          abnmos             1.00 
        2 xnmos.xm1.                      sky130_fd_pr__nfet_01v8
                                                                 1.00 
 ******  
 * hspice options

 
 *****************************************************************
 ******  option summary
 ******
 runlvl  = 5         bypass  = 2.0000    
  Opening plot unit= 15
 file=nfetdc.pa0

 ******
 * hspice options

 ****** dc transfer curves tnom=  25.000 temp=  25.000 ******
x

 volt         voltage    current    current    current   
             ng         vg_sense   vd_sense   vs_sense   
  806.40000m  806.4000m    0.        14.7461u   14.7370u 
  808.20000m  808.2000m    0.        15.0816u   15.0723u 
  810.00000m  810.0000m    0.        15.4219u   15.4124u 
  811.80000m  811.8000m    0.        15.7669u   15.7572u 
  813.60000m  813.6000m    0.        16.1166u   16.1068u 
  815.40000m  815.4000m    0.        16.4711u   16.4611u 
  817.20000m  817.2000m    0.        16.8302u   16.8200u 
  819.00000m  819.0000m    0.        17.1940u   17.1836u 
  820.80000m  820.8000m    0.        17.5625u   17.5519u 
  822.60000m  822.6000m    0.        17.9355u   17.9247u 
  824.40000m  824.4000m    0.        18.3131u   18.3022u 
  826.20000m  826.2000m    0.        18.6953u   18.6841u 
  828.00000m  828.0000m    0.        19.0820u   19.0706u 
  829.80000m  829.8000m    0.        19.4731u   19.4615u 
  831.60000m  831.6000m    0.        19.8686u   19.8568u 
  833.40000m  833.4000m    0.        20.2685u   20.2566u 
  835.20000m  835.2000m    0.        20.6728u   20.6606u 
  837.00000m  837.0000m    0.        21.0813u   21.0689u 
  838.80000m  838.8000m    0.        21.4941u   21.4815u 
  840.60000m  840.6000m    0.        21.9110u   21.8982u 
  842.40000m  842.4000m    0.        22.3321u   22.3191u 
  844.20000m  844.2000m    0.        22.7573u   22.7440u 
  846.00000m  846.0000m    0.        23.1864u   23.1730u 
  847.80000m  847.8000m    0.        23.6196u   23.6059u 
  849.60000m  849.6000m    0.        24.0566u   24.0428u 
  851.40000m  851.4000m    0.        24.4975u   24.4835u 
  853.20000m  853.2000m    0.        24.9422u   24.9279u 
  855.00000m  855.0000m    0.        25.3906u   25.3761u 
  856.80000m  856.8000m    0.        25.8426u   25.8280u 
  858.60000m  858.6000m    0.        26.2983u   26.2834u 
  860.40000m  860.4000m    0.        26.7575u   26.7423u 
  862.20000m  862.2000m    0.        27.2201u   27.2047u 
  864.00000m  864.0000m    0.        27.6861u   27.6705u 
  865.80000m  865.8000m    0.        28.1554u   28.1396u 
  867.60000m  867.6000m    0.        28.6280u   28.6120u 
  869.40000m  869.4000m    0.        29.1037u   29.0875u 
  871.20000m  871.2000m    0.        29.5826u   29.5662u 
  873.00000m  873.0000m    0.        30.0645u   30.0478u 
  874.80000m  874.8000m    0.        30.5494u   30.5325u 
  876.60000m  876.6000m    0.        31.0371u   31.0200u 
  878.40000m  878.4000m    0.        31.5277u   31.5103u 
  880.20000m  880.2000m    0.        32.0210u   32.0034u 
  882.00000m  882.0000m    0.        32.5169u   32.4992u 
  883.80000m  883.8000m    0.        33.0155u   32.9975u 
  885.60000m  885.6000m    0.        33.5166u   33.4983u 
  887.40000m  887.4000m    0.        34.0201u   34.0016u 
  889.20000m  889.2000m    0.        34.5260u   34.5073u 
  891.00000m  891.0000m    0.        35.0342u   35.0153u 
  892.80000m  892.8000m    0.        35.5446u   35.5255u 
  894.60000m  894.6000m    0.        36.0572u   36.0378u 
  896.40000m  896.4000m    0.        36.5718u   36.5522u 
  898.20000m  898.2000m    0.        37.0885u   37.0687u 
  900.00000m  900.0000m    0.        37.6070u   37.5870u 
  901.80000m  901.8000m    0.        38.1275u   38.1072u 
  903.60000m  903.6000m    0.        38.6497u   38.6293u 
  905.40000m  905.4000m    0.        39.1737u   39.1530u 
  907.20000m  907.2000m    0.        39.6993u   39.6784u 
  909.00000m  909.0000m    0.        40.2265u   40.2053u 
  910.80000m  910.8000m    0.        40.7552u   40.7338u 
  912.60000m  912.6000m    0.        41.2853u   41.2637u 
  914.40000m  914.4000m    0.        41.8168u   41.7950u 
  916.20000m  916.2000m    0.        42.3497u   42.3276u 
  918.00000m  918.0000m    0.        42.8837u   42.8615u 
  919.80000m  919.8000m    0.        43.4190u   43.3965u 
  921.60000m  921.6000m    0.        43.9554u   43.9327u 
  923.40000m  923.4000m    0.        44.4928u   44.4699u 
  925.20000m  925.2000m    0.        45.0312u   45.0081u 
  927.00000m  927.0000m    0.        45.5706u   45.5472u 
  928.80000m  928.8000m    0.        46.1109u   46.0872u 
  930.60000m  930.6000m    0.        46.6519u   46.6281u 
  932.40000m  932.4000m    0.        47.1938u   47.1697u 
  934.20000m  934.2000m    0.        47.7363u   47.7120u 
  936.00000m  936.0000m    0.        48.2795u   48.2549u 
  937.80000m  937.8000m    0.        48.8232u   48.7985u 
  939.60000m  939.6000m    0.        49.3676u   49.3426u 
  941.40000m  941.4000m    0.        49.9124u   49.8872u 
  943.20000m  943.2000m    0.        50.4577u   50.4323u 
  945.00000m  945.0000m    0.        51.0033u   50.9777u 
  946.80000m  946.8000m    0.        51.5493u   51.5235u 
  948.60000m  948.6000m    0.        52.0956u   52.0696u 
  950.40000m  950.4000m    0.        52.6422u   52.6159u 
  952.20000m  952.2000m    0.        53.1890u   53.1625u 
  954.00000m  954.0000m    0.        53.7359u   53.7092u 
  955.80000m  955.8000m    0.        54.2830u   54.2561u 
  957.60000m  957.6000m    0.        54.8302u   54.8030u 
  959.40000m  959.4000m    0.        55.3774u   55.3500u 
  961.20000m  961.2000m    0.        55.9246u   55.8970u 
  963.00000m  963.0000m    0.        56.4718u   56.4440u 
  964.80000m  964.8000m    0.        57.0190u   56.9909u 
  966.60000m  966.6000m    0.        57.5660u   57.5378u 
  968.40000m  968.4000m    0.        58.1129u   58.0845u 
  970.20000m  970.2000m    0.        58.6597u   58.6310u 
  972.00000m  972.0000m    0.        59.2062u   59.1773u 
  973.80000m  973.8000m    0.        59.7526u   59.7235u 
  975.60000m  975.6000m    0.        60.2986u   60.2693u 
  977.40000m  977.4000m    0.        60.8444u   60.8149u 
  979.20000m  979.2000m    0.        61.3899u   61.3602u 
  981.00000m  981.0000m    0.        61.9351u   61.9051u 
  982.80000m  982.8000m    0.        62.4799u   62.4497u 
  984.60000m  984.6000m    0.        63.0243u   62.9939u 
  986.40000m  986.4000m    0.        63.5683u   63.5377u 
  988.20000m  988.2000m    0.        64.1119u   64.0811u 
  990.00000m  990.0000m    0.        64.6551u   64.6241u 
  991.80000m  991.8000m    0.        65.1977u   65.1665u 
  993.60000m  993.6000m    0.        65.7399u   65.7085u 
  995.40000m  995.4000m    0.        66.2816u   66.2500u 
  997.20000m  997.2000m    0.        66.8228u   66.7909u 
  999.00000m  999.0000m    0.        67.3634u   67.3314u 
    1.00080     1.0008     0.        67.9035u   67.8712u 
    1.00260     1.0026     0.        68.4430u   68.4105u 
    1.00440     1.0044     0.        68.9819u   68.9492u 
    1.00620     1.0062     0.        69.5202u   69.4874u 
    1.00800     1.0080     0.        70.0579u   70.0249u 
    1.00980     1.0098     0.        70.5950u   70.5618u 
    1.01160     1.0116     0.        71.1315u   71.0980u 
    1.01340     1.0134     0.        71.6673u   71.6337u 
    1.01520     1.0152     0.        72.2025u   72.1686u 
    1.01700     1.0170     0.        72.7370u   72.7030u 
    1.01880     1.0188     0.        73.2709u   73.2366u 
    1.02060     1.0206     0.        73.8040u   73.7696u 
    1.02240     1.0224     0.        74.3365u   74.3019u 
    1.02420     1.0242     0.        74.8683u   74.8335u 
    1.02600     1.0260     0.        75.3995u   75.3644u 
    1.02780     1.0278     0.        75.9299u   75.8946u 
    1.02960     1.0296     0.        76.4596u   76.4242u 
    1.03140     1.0314     0.        76.9886u   76.9530u 
    1.03320     1.0332     0.        77.5169u   77.4811u 
    1.03500     1.0350     0.        78.0445u   78.0085u 
    1.03680     1.0368     0.        78.5714u   78.5352u 
    1.03860     1.0386     0.        79.0975u   79.0611u 
    1.04040     1.0404     0.        79.6229u   79.5863u 
    1.04220     1.0422     0.        80.1476u   80.1109u 
    1.04400     1.0440     0.        80.6716u   80.6347u 
    1.04580     1.0458     0.        81.1949u   81.1577u 
    1.04760     1.0476     0.        81.7174u   81.6801u 
    1.04940     1.0494     0.        82.2392u   82.2017u 
    1.05120     1.0512     0.        82.7603u   82.7226u 
    1.05300     1.0530     0.        83.2807u   83.2428u 
    1.05480     1.0548     0.        83.8003u   83.7623u 
    1.05660     1.0566     0.        84.3193u   84.2810u 
    1.05840     1.0584     0.        84.8375u   84.7990u 
    1.06020     1.0602     0.        85.3550u   85.3164u 
    1.06200     1.0620     0.        85.8718u   85.8330u 
    1.06380     1.0638     0.        86.3879u   86.3489u 
    1.06560     1.0656     0.        86.9032u   86.8640u 
    1.06740     1.0674     0.        87.4179u   87.3785u 
    1.06920     1.0692     0.        87.9319u   87.8923u 
    1.07100     1.0710     0.        88.4451u   88.4054u 
    1.07280     1.0728     0.        88.9577u   88.9178u 
    1.07460     1.0746     0.        89.4696u   89.4295u 
    1.07640     1.0764     0.        89.9808u   89.9405u 
    1.07820     1.0782     0.        90.4913u   90.4509u 
    1.08000     1.0800     0.        91.0012u   90.9606u 
    1.08180     1.0818     0.        91.5104u   91.4696u 
    1.08360     1.0836     0.        92.0189u   91.9779u 
    1.08540     1.0854     0.        92.5268u   92.4856u 
    1.08720     1.0872     0.        93.0339u   92.9926u 
    1.08900     1.0890     0.        93.5405u   93.4990u 
    1.09080     1.0908     0.        94.0464u   94.0047u 
    1.09260     1.0926     0.        94.5517u   94.5098u 
    1.09440     1.0944     0.        95.0563u   95.0142u 
    1.09620     1.0962     0.        95.5603u   95.5181u 
    1.09800     1.0980     0.        96.0637u   96.0213u 
    1.09980     1.0998     0.        96.5664u   96.5239u 
    1.10160     1.1016     0.        97.0686u   97.0258u 
    1.10340     1.1034     0.        97.5701u   97.5272u 
    1.10520     1.1052     0.        98.0711u   98.0280u 
    1.10700     1.1070     0.        98.5714u   98.5282u 
    1.10880     1.1088     0.        99.0712u   99.0277u 
    1.11060     1.1106     0.        99.5703u   99.5268u 
    1.11240     1.1124     0.       100.0689u  100.0252u 
    1.11420     1.1142     0.       100.5670u  100.5231u 
    1.11600     1.1160     0.       101.0645u  101.0204u 
    1.11780     1.1178     0.       101.5614u  101.5171u 
    1.11960     1.1196     0.       102.0577u  102.0133u 
    1.12140     1.1214     0.       102.5536u  102.5090u 
    1.12320     1.1232     0.       103.0489u  103.0041u 
    1.12500     1.1250     0.       103.5436u  103.4987u 
    1.12680     1.1268     0.       104.0378u  103.9927u 
    1.12860     1.1286     0.       104.5316u  104.4863u 
    1.13040     1.1304     0.       105.0248u  104.9793u 
    1.13220     1.1322     0.       105.5174u  105.4718u 
    1.13400     1.1340     0.       106.0096u  105.9639u 
    1.13580     1.1358     0.       106.5013u  106.4554u 
    1.13760     1.1376     0.       106.9926u  106.9465u 
    1.13940     1.1394     0.       107.4833u  107.4370u 
    1.14120     1.1412     0.       107.9735u  107.9271u 
    1.14300     1.1430     0.       108.4633u  108.4168u 
    1.14480     1.1448     0.       108.9527u  108.9059u 
    1.14660     1.1466     0.       109.4415u  109.3946u 
    1.14840     1.1484     0.       109.9300u  109.8829u 
    1.15020     1.1502     0.       110.4179u  110.3707u 
    1.15200     1.1520     0.       110.9055u  110.8581u 
    1.15380     1.1538     0.       111.3926u  111.3451u 
    1.15560     1.1556     0.       111.8793u  111.8316u 
    1.15740     1.1574     0.       112.3655u  112.3177u 
    1.15920     1.1592     0.       112.8514u  112.8034u 
    1.16100     1.1610     0.       113.3368u  113.2887u 
    1.16280     1.1628     0.       113.8219u  113.7735u 
    1.16460     1.1646     0.       114.3065u  114.2580u 
    1.16640     1.1664     0.       114.7908u  114.7421u 
    1.16820     1.1682     0.       115.2746u  115.2258u 
    1.17000     1.1700     0.       115.7581u  115.7092u 
    1.17180     1.1718     0.       116.2412u  116.1921u 
    1.17360     1.1736     0.       116.7240u  116.6747u 
    1.17540     1.1754     0.       117.2064u  117.1569u 
    1.17720     1.1772     0.       117.6884u  117.6388u 
    1.17900     1.1790     0.       118.1701u  118.1203u 
    1.18080     1.1808     0.       118.6514u  118.6015u 
    1.18260     1.1826     0.       119.1324u  119.0824u 
    1.18440     1.1844     0.       119.6130u  119.5629u 
    1.18620     1.1862     0.       120.0934u  120.0430u 
    1.18800     1.1880     0.       120.5734u  120.5229u 
    1.18980     1.1898     0.       121.0530u  121.0024u 
    1.19160     1.1916     0.       121.5324u  121.4816u 
    1.19340     1.1934     0.       122.0114u  121.9605u 
    1.19520     1.1952     0.       122.4902u  122.4391u 
    1.19700     1.1970     0.       122.9686u  122.9174u 
    1.19880     1.1988     0.       123.4468u  123.3954u 
    1.20060     1.2006     0.       123.9246u  123.8731u 
    1.20240     1.2024     0.       124.4022u  124.3505u 
    1.20420     1.2042     0.       124.8795u  124.8276u 
    1.20600     1.2060     0.       125.3565u  125.3045u 
    1.20780     1.2078     0.       125.8332u  125.7811u 
    1.20960     1.2096     0.       126.3097u  126.2574u 
    1.21140     1.2114     0.       126.7859u  126.7334u 
    1.21320     1.2132     0.       127.2619u  127.2092u 
    1.21500     1.2150     0.       127.7375u  127.6848u 
    1.21680     1.2168     0.       128.2130u  128.1601u 
    1.21860     1.2186     0.       128.6882u  128.6351u 
    1.22040     1.2204     0.       129.1631u  129.1099u 
    1.22220     1.2222     0.       129.6378u  129.5845u 
    1.22400     1.2240     0.       130.1123u  130.0588u 
    1.22580     1.2258     0.       130.5865u  130.5329u 
    1.22760     1.2276     0.       131.0606u  131.0068u 
    1.22940     1.2294     0.       131.5343u  131.4804u 
    1.23120     1.2312     0.       132.0079u  131.9538u 
    1.23300     1.2330     0.       132.4813u  132.4271u 
    1.23480     1.2348     0.       132.9544u  132.9001u 
    1.23660     1.2366     0.       133.4274u  133.3729u 
    1.23840     1.2384     0.       133.9001u  133.8454u 
    1.24020     1.2402     0.       134.3726u  134.3178u 
    1.24200     1.2420     0.       134.8450u  134.7900u 
    1.24380     1.2438     0.       135.3171u  135.2620u 
    1.24560     1.2456     0.       135.7891u  135.7338u 
    1.24740     1.2474     0.       136.2608u  136.2055u 
    1.24920     1.2492     0.       136.7324u  136.6769u 
    1.25100     1.2510     0.       137.2038u  137.1481u 
    1.25280     1.2528     0.       137.6750u  137.6192u 
    1.25460     1.2546     0.       138.1461u  138.0901u 
    1.25640     1.2564     0.       138.6169u  138.5609u 
    1.25820     1.2582     0.       139.0876u  139.0314u 
    1.26000     1.2600     0.       139.5582u  139.5018u 
    1.26180     1.2618     0.       140.0286u  139.9721u 
    1.26360     1.2636     0.       140.4988u  140.4421u 
    1.26540     1.2654     0.       140.9689u  140.9121u 
    1.26720     1.2672     0.       141.4388u  141.3818u 
    1.26900     1.2690     0.       141.9085u  141.8515u 
    1.27080     1.2708     0.       142.3781u  142.3209u 
    1.27260     1.2726     0.       142.8476u  142.7903u 
    1.27440     1.2744     0.       143.3169u  143.2594u 
    1.27620     1.2762     0.       143.7861u  143.7285u 
    1.27800     1.2780     0.       144.2551u  144.1974u 
    1.27980     1.2798     0.       144.7240u  144.6662u 
    1.28160     1.2816     0.       145.1928u  145.1348u 
    1.28340     1.2834     0.       145.6615u  145.6033u 
    1.28520     1.2852     0.       146.1300u  146.0717u 
    1.28700     1.2870     0.       146.5984u  146.5399u 
    1.28880     1.2888     0.       147.0666u  147.0081u 
    1.29060     1.2906     0.       147.5348u  147.4761u 
    1.29240     1.2924     0.       148.0028u  147.9440u 
    1.29420     1.2942     0.       148.4707u  148.4117u 
    1.29600     1.2960     0.       148.9385u  148.8794u 
    1.29780     1.2978     0.       149.4062u  149.3469u 
    1.29960     1.2996     0.       149.8738u  149.8144u 
    1.30140     1.3014     0.       150.3412u  150.2817u 
    1.30320     1.3032     0.       150.8086u  150.7489u 
    1.30500     1.3050     0.       151.2759u  151.2161u 
    1.30680     1.3068     0.       151.7430u  151.6831u 
    1.30860     1.3086     0.       152.2101u  152.1500u 
    1.31040     1.3104     0.       152.6770u  152.6168u 
    1.31220     1.3122     0.       153.1439u  153.0835u 
    1.31400     1.3140     0.       153.6106u  153.5502u 
    1.31580     1.3158     0.       154.0773u  154.0167u 
    1.31760     1.3176     0.       154.5439u  154.4832u 
    1.31940     1.3194     0.       155.0104u  154.9495u 
    1.32120     1.3212     0.       155.4768u  155.4158u 
    1.32300     1.3230     0.       155.9431u  155.8820u 
    1.32480     1.3248     0.       156.4093u  156.3481u 
    1.32660     1.3266     0.       156.8755u  156.8141u 
    1.32840     1.3284     0.       157.3415u  157.2800u 
    1.33020     1.3302     0.       157.8075u  157.7459u 
    1.33200     1.3320     0.       158.2734u  158.2117u 
    1.33380     1.3338     0.       158.7393u  158.6774u 
    1.33560     1.3356     0.       159.2050u  159.1430u 
    1.33740     1.3374     0.       159.6707u  159.6085u 
    1.33920     1.3392     0.       160.1363u  160.0740u 
    1.34100     1.3410     0.       160.6019u  160.5394u 
    1.34280     1.3428     0.       161.0673u  161.0048u 
    1.34460     1.3446     0.       161.5327u  161.4700u 
    1.34640     1.3464     0.       161.9981u  161.9353u 
    1.34820     1.3482     0.       162.4633u  162.4004u 
    1.35000     1.3500     0.       162.9285u  162.8655u 
    1.35180     1.3518     0.       163.3937u  163.3305u 
    1.35360     1.3536     0.       163.8588u  163.7954u 
    1.35540     1.3554     0.       164.3238u  164.2603u 
    1.35720     1.3572     0.       164.7887u  164.7252u 
    1.35900     1.3590     0.       165.2536u  165.1899u 
    1.36080     1.3608     0.       165.7185u  165.6546u 
    1.36260     1.3626     0.       166.1833u  166.1193u 
    1.36440     1.3644     0.       166.6480u  166.5839u 
    1.36620     1.3662     0.       167.1127u  167.0485u 
    1.36800     1.3680     0.       167.5773u  167.5130u 
    1.36980     1.3698     0.       168.0419u  167.9774u 
    1.37160     1.3716     0.       168.5064u  168.4418u 
    1.37340     1.3734     0.       168.9709u  168.9061u 
    1.37520     1.3752     0.       169.4353u  169.3704u 
    1.37700     1.3770     0.       169.8996u  169.8347u 
    1.37880     1.3788     0.       170.3640u  170.2989u 
    1.38060     1.3806     0.       170.8282u  170.7630u 
    1.38240     1.3824     0.       171.2925u  171.2271u 
    1.38420     1.3842     0.       171.7567u  171.6912u 
    1.38600     1.3860     0.       172.2208u  172.1552u 
    1.38780     1.3878     0.       172.6849u  172.6192u 
    1.38960     1.3896     0.       173.1490u  173.0831u 
    1.39140     1.3914     0.       173.6130u  173.5470u 
    1.39320     1.3932     0.       174.0770u  174.0109u 
    1.39500     1.3950     0.       174.5409u  174.4747u 
    1.39680     1.3968     0.       175.0048u  174.9385u 
    1.39860     1.3986     0.       175.4687u  175.4022u 
    1.40040     1.4004     0.       175.9325u  175.8659u 
    1.40220     1.4022     0.       176.3963u  176.3296u 
    1.40400     1.4040     0.       176.8600u  176.7932u 
    1.40580     1.4058     0.       177.3237u  177.2568u 
    1.40760     1.4076     0.       177.7874u  177.7203u 
    1.40940     1.4094     0.       178.2510u  178.1839u 
    1.41120     1.4112     0.       178.7147u  178.6474u 
    1.41300     1.4130     0.       179.1782u  179.1108u 
    1.41480     1.4148     0.       179.6418u  179.5742u 
    1.41660     1.4166     0.       180.1053u  180.0376u 
    1.41840     1.4184     0.       180.5688u  180.5010u 
    1.42020     1.4202     0.       181.0322u  180.9643u 
    1.42200     1.4220     0.       181.4956u  181.4276u 
    1.42380     1.4238     0.       181.9590u  181.8909u 
    1.42560     1.4256     0.       182.4224u  182.3541u 
    1.42740     1.4274     0.       182.8857u  182.8173u 
    1.42920     1.4292     0.       183.3490u  183.2805u 
    1.43100     1.4310     0.       183.8123u  183.7437u 
    1.43280     1.4328     0.       184.2755u  184.2068u 
    1.43460     1.4346     0.       184.7388u  184.6699u 
    1.43640     1.4364     0.       185.2020u  185.1330u 
    1.43820     1.4382     0.       185.6651u  185.5961u 
    1.44000     1.4400     0.       186.1283u  186.0591u 
    1.44180     1.4418     0.       186.5914u  186.5221u 
    1.44360     1.4436     0.       187.0545u  186.9851u 
    1.44540     1.4454     0.       187.5176u  187.4480u 
    1.44720     1.4472     0.       187.9806u  187.9110u 
    1.44900     1.4490     0.       188.4436u  188.3739u 
    1.45080     1.4508     0.       188.9066u  188.8367u 
    1.45260     1.4526     0.       189.3696u  189.2996u 
    1.45440     1.4544     0.       189.8326u  189.7625u 
    1.45620     1.4562     0.       190.2955u  190.2253u 
    1.45800     1.4580     0.       190.7584u  190.6881u 
    1.45980     1.4598     0.       191.2213u  191.1509u 
    1.46160     1.4616     0.       191.6842u  191.6136u 
    1.46340     1.4634     0.       192.1471u  192.0764u 
    1.46520     1.4652     0.       192.6099u  192.5391u 
    1.46700     1.4670     0.       193.0727u  193.0018u 
    1.46880     1.4688     0.       193.5355u  193.4645u 
    1.47060     1.4706     0.       193.9983u  193.9271u 
    1.47240     1.4724     0.       194.4610u  194.3898u 
    1.47420     1.4742     0.       194.9238u  194.8524u 
    1.47600     1.4760     0.       195.3865u  195.3150u 
    1.47780     1.4778     0.       195.8492u  195.7776u 
    1.47960     1.4796     0.       196.3119u  196.2401u 
    1.48140     1.4814     0.       196.7745u  196.7027u 
    1.48320     1.4832     0.       197.2372u  197.1652u 
    1.48500     1.4850     0.       197.6998u  197.6277u 
    1.48680     1.4868     0.       198.1624u  198.0902u 
    1.48860     1.4886     0.       198.6250u  198.5527u 
    1.49040     1.4904     0.       199.0876u  199.0152u 
    1.49220     1.4922     0.       199.5502u  199.4777u 
    1.49400     1.4940     0.       200.0127u  199.9401u 
    1.49580     1.4958     0.       200.4752u  200.4025u 
    1.49760     1.4976     0.       200.9377u  200.8649u 
    1.49940     1.4994     0.       201.4002u  201.3273u 
    1.50120     1.5012     0.       201.8627u  201.7897u 
    1.50300     1.5030     0.       202.3252u  202.2521u 
    1.50480     1.5048     0.       202.7877u  202.7144u 
    1.50660     1.5066     0.       203.2501u  203.1767u 
    1.50840     1.5084     0.       203.7125u  203.6391u 
    1.51020     1.5102     0.       204.1749u  204.1014u 
    1.51200     1.5120     0.       204.6373u  204.5636u 
    1.51380     1.5138     0.       205.0997u  205.0259u 
    1.51560     1.5156     0.       205.5621u  205.4882u 
    1.51740     1.5174     0.       206.0245u  205.9504u 
    1.51920     1.5192     0.       206.4868u  206.4127u 
    1.52100     1.5210     0.       206.9491u  206.8749u 
    1.52280     1.5228     0.       207.4114u  207.3371u 
    1.52460     1.5246     0.       207.8737u  207.7993u 
    1.52640     1.5264     0.       208.3360u  208.2615u 
    1.52820     1.5282     0.       208.7983u  208.7236u 
    1.53000     1.5300     0.       209.2606u  209.1858u 
    1.53180     1.5318     0.       209.7228u  209.6479u 
    1.53360     1.5336     0.       210.1851u  210.1101u 
    1.53540     1.5354     0.       210.6473u  210.5722u 
    1.53720     1.5372     0.       211.1095u  211.0343u 
    1.53900     1.5390     0.       211.5717u  211.4964u 
    1.54080     1.5408     0.       212.0339u  211.9585u 
    1.54260     1.5426     0.       212.4961u  212.4206u 
    1.54440     1.5444     0.       212.9582u  212.8826u 
    1.54620     1.5462     0.       213.4204u  213.3447u 
    1.54800     1.5480     0.       213.8825u  213.8067u 
    1.54980     1.5498     0.       214.3446u  214.2687u 
    1.55160     1.5516     0.       214.8068u  214.7307u 
    1.55340     1.5534     0.       215.2689u  215.1927u 
    1.55520     1.5552     0.       215.7310u  215.6547u 
    1.55700     1.5570     0.       216.1930u  216.1167u 
    1.55880     1.5588     0.       216.6551u  216.5787u 
    1.56060     1.5606     0.       217.1172u  217.0406u 
    1.56240     1.5624     0.       217.5792u  217.5026u 
    1.56420     1.5642     0.       218.0412u  217.9645u 
    1.56600     1.5660     0.       218.5033u  218.4264u 
    1.56780     1.5678     0.       218.9653u  218.8883u 
    1.56960     1.5696     0.       219.4273u  219.3502u 
    1.57140     1.5714     0.       219.8893u  219.8121u 
    1.57320     1.5732     0.       220.3512u  220.2740u 
    1.57500     1.5750     0.       220.8132u  220.7359u 
    1.57680     1.5768     0.       221.2752u  221.1977u 
    1.57860     1.5786     0.       221.7371u  221.6596u 
    1.58040     1.5804     0.       222.1990u  222.1214u 
    1.58220     1.5822     0.       222.6610u  222.5832u 
    1.58400     1.5840     0.       223.1229u  223.0450u 
    1.58580     1.5858     0.       223.5848u  223.5068u 
    1.58760     1.5876     0.       224.0467u  223.9686u 
    1.58940     1.5894     0.       224.5085u  224.4304u 
    1.59120     1.5912     0.       224.9704u  224.8922u 
    1.59300     1.5930     0.       225.4323u  225.3539u 
    1.59480     1.5948     0.       225.8941u  225.8157u 
    1.59660     1.5966     0.       226.3559u  226.2774u 
    1.59840     1.5984     0.       226.8178u  226.7391u 
    1.60020     1.6002     0.       227.2796u  227.2008u 
    1.60200     1.6020     0.       227.7414u  227.6625u 
    1.60380     1.6038     0.       228.2032u  228.1242u 
    1.60560     1.6056     0.       228.6649u  228.5859u 
    1.60740     1.6074     0.       229.1267u  229.0476u 
    1.60920     1.6092     0.       229.5885u  229.5092u 
    1.61100     1.6110     0.       230.0502u  229.9709u 
    1.61280     1.6128     0.       230.5119u  230.4325u 
    1.61460     1.6146     0.       230.9737u  230.8942u 
    1.61640     1.6164     0.       231.4354u  231.3558u 
    1.61820     1.6182     0.       231.8971u  231.8174u 
    1.62000     1.6200     0.       232.3588u  232.2790u 
    1.62180     1.6218     0.       232.8204u  232.7406u 
    1.62360     1.6236     0.       233.2821u  233.2021u 
    1.62540     1.6254     0.       233.7438u  233.6637u 
    1.62720     1.6272     0.       234.2054u  234.1252u 
    1.62900     1.6290     0.       234.6671u  234.5868u 
    1.63080     1.6308     0.       235.1287u  235.0483u 
    1.63260     1.6326     0.       235.5903u  235.5098u 
    1.63440     1.6344     0.       236.0519u  235.9714u 
    1.63620     1.6362     0.       236.5135u  236.4329u 
    1.63800     1.6380     0.       236.9751u  236.8943u 
    1.63980     1.6398     0.       237.4366u  237.3558u 
    1.64160     1.6416     0.       237.8982u  237.8173u 
    1.64340     1.6434     0.       238.3597u  238.2787u 
    1.64520     1.6452     0.       238.8213u  238.7402u 
    1.64700     1.6470     0.       239.2828u  239.2016u 
    1.64880     1.6488     0.       239.7443u  239.6630u 
    1.65060     1.6506     0.       240.2058u  240.1244u 
    1.65240     1.6524     0.       240.6673u  240.5858u 
    1.65420     1.6542     0.       241.1288u  241.0472u 
    1.65600     1.6560     0.       241.5903u  241.5086u 
    1.65780     1.6578     0.       242.0517u  241.9700u 
    1.65960     1.6596     0.       242.5132u  242.4313u 
    1.66140     1.6614     0.       242.9746u  242.8927u 
    1.66320     1.6632     0.       243.4360u  243.3540u 
    1.66500     1.6650     0.       243.8974u  243.8153u 
    1.66680     1.6668     0.       244.3588u  244.2766u 
    1.66860     1.6686     0.       244.8202u  244.7379u 
    1.67040     1.6704     0.       245.2816u  245.1992u 
    1.67220     1.6722     0.       245.7430u  245.6605u 
    1.67400     1.6740     0.       246.2043u  246.1218u 
    1.67580     1.6758     0.       246.6657u  246.5830u 
    1.67760     1.6776     0.       247.1270u  247.0443u 
    1.67940     1.6794     0.       247.5883u  247.5055u 
    1.68120     1.6812     0.       248.0496u  247.9667u 
    1.68300     1.6830     0.       248.5109u  248.4279u 
    1.68480     1.6848     0.       248.9722u  248.8891u 
    1.68660     1.6866     0.       249.4335u  249.3503u 
    1.68840     1.6884     0.       249.8947u  249.8115u 
    1.69020     1.6902     0.       250.3560u  250.2726u 
    1.69200     1.6920     0.       250.8172u  250.7338u 
    1.69380     1.6938     0.       251.2784u  251.1949u 
    1.69560     1.6956     0.       251.7396u  251.6560u 
    1.69740     1.6974     0.       252.2008u  252.1172u 
    1.69920     1.6992     0.       252.6620u  252.5783u 
    1.70100     1.7010     0.       253.1232u  253.0393u 
