# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-15
# source: nfettrans.cir
# timestamp: 2026-01-28T20:33:17Z
time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,4.51488888e-14,3.33330698e-14,1.18158190e-14
1.00000000e-08,1.80000000e-05,4.46266413e-12,-4.42515732e-13,5.43179187e-13,3.47696922e-12
2.00000000e-08,3.60000000e-05,4.46261696e-12,-4.42506392e-13,5.43209330e-13,3.47690124e-12
4.00000000e-08,7.20000000e-05,4.46248900e-12,-4.42488718e-13,5.43271593e-13,3.47672869e-12
8.00000000e-08,1.44000000e-04,4.46236108e-12,-4.42435426e-13,5.43369488e-13,3.47655617e-12
1.60000000e-07,2.88000000e-04,4.46197742e-12,-4.42346268e-13,5.43592549e-13,3.47603860e-12
3.20000000e-07,5.76000000e-04,4.46133867e-12,-4.42148442e-13,5.44013981e-13,3.47517625e-12
6.40000000e-07,1.15200000e-03,4.45993563e-12,-4.41763886e-13,5.44891942e-13,3.47327980e-12
1.28000000e-06,2.30400000e-03,4.45726721e-12,-4.40949377e-13,5.46655078e-13,3.46966276e-12
2.28000000e-06,4.10400000e-03,4.45301651e-12,-4.39616163e-13,5.49527301e-13,3.46387305e-12
3.28000000e-06,5.90400000e-03,4.44888906e-12,-4.38174904e-13,5.52503465e-13,3.45821069e-12
4.28000000e-06,7.70400000e-03,4.44470658e-12,-4.36641644e-13,5.55622146e-13,3.45244279e-12
5.28000000e-06,9.50400000e-03,4.44064764e-12,-4.34988728e-13,5.58857184e-13,3.44680173e-12
6.28000000e-06,1.13040000e-02,4.43653399e-12,-4.33231556e-13,5.62247817e-13,3.44105462e-12
7.28000000e-06,1.31040000e-02,4.43254422e-12,-4.31341793e-13,5.65768580e-13,3.43543384e-12
8.28000000e-06,1.49040000e-02,4.42850007e-12,-4.29334121e-13,5.69459443e-13,3.42970651e-12
9.28000000e-06,1.67040000e-02,4.42458018e-12,-4.27179448e-13,5.73295714e-13,3.42410501e-12
1.02800000e-05,1.85040000e-02,4.42060629e-12,-4.24891655e-13,5.77318180e-13,3.41839646e-12
1.12800000e-05,2.03040000e-02,4.41675705e-12,-4.22440810e-13,5.81503006e-13,3.41281323e-12
1.22800000e-05,2.21040000e-02,4.41285423e-12,-4.19839905e-13,5.85891884e-13,3.40712244e-12
1.32800000e-05,2.39040000e-02,4.40907649e-12,-4.17058070e-13,5.90461933e-13,3.40155649e-12
1.42800000e-05,2.57040000e-02,4.40524563e-12,-4.14107308e-13,5.95255852e-13,3.39588247e-12
1.52800000e-05,2.75040000e-02,4.40154031e-12,-4.10955706e-13,6.00251820e-13,3.39033278e-12
1.62800000e-05,2.93040000e-02,4.39778236e-12,-4.07614167e-13,6.05493653e-13,3.38467454e-12
1.72800000e-05,3.11040000e-02,4.39415045e-12,-4.04049618e-13,6.10960709e-13,3.37914012e-12
1.82800000e-05,3.29040000e-02,4.39046643e-12,-4.00271739e-13,6.16698046e-13,3.37349665e-12
1.92800000e-05,3.47040000e-02,4.38690901e-12,-3.96246164e-13,6.22686330e-13,3.36797651e-12
2.02800000e-05,3.65040000e-02,4.38330003e-12,-3.91981213e-13,6.28971999e-13,3.36234682e-12
2.12800000e-05,3.83040000e-02,4.37981824e-12,-3.87441084e-13,6.35537176e-13,3.35683998e-12
2.22800000e-05,4.01040000e-02,4.37628549e-12,-3.82632582e-13,6.42429831e-13,3.35122308e-12
2.32800000e-05,4.19040000e-02,4.37288055e-12,-3.77518309e-13,6.49633704e-13,3.34572853e-12
2.42800000e-05,4.37040000e-02,4.36942530e-12,-3.72103384e-13,6.57198471e-13,3.34012345e-12
2.52800000e-05,4.55040000e-02,4.36609852e-12,-3.66348632e-13,6.65109667e-13,3.33464022e-12
2.62800000e-05,4.73040000e-02,4.36272212e-12,-3.60257299e-13,6.73418863e-13,3.32904596e-12
2.72800000e-05,4.91040000e-02,4.35947490e-12,-3.53788234e-13,6.82113591e-13,3.32357307e-12
2.82800000e-05,5.09040000e-02,4.35617880e-12,-3.46942599e-13,6.91247527e-13,3.31798867e-12
2.92800000e-05,5.27040000e-02,4.35301262e-12,-3.39677044e-13,7.00810423e-13,3.31252515e-12
3.02800000e-05,5.45040000e-02,4.34979834e-12,-3.31990413e-13,7.10858294e-13,3.30694963e-12
3.12800000e-05,5.63040000e-02,4.34671479e-12,-3.23836912e-13,7.21383359e-13,3.30149451e-12
3.22800000e-05,5.81040000e-02,4.34358395e-12,-3.15212806e-13,7.32444233e-13,3.29592691e-12
3.32800000e-05,5.99040000e-02,4.34058469e-12,-3.06069583e-13,7.44035877e-13,3.29047924e-12
3.42800000e-05,6.17040000e-02,4.33753903e-12,-2.96400640e-13,7.56219795e-13,3.28491860e-12
3.52800000e-05,6.35040000e-02,4.33462584e-12,-2.86154441e-13,7.68993995e-13,3.27947740e-12
3.62800000e-05,6.53040000e-02,4.33166717e-12,-2.75321195e-13,7.82423194e-13,3.27392278e-12
3.72800000e-05,6.71040000e-02,4.32884192e-12,-2.63846003e-13,7.96508785e-13,3.26848713e-12
3.82800000e-05,6.89040000e-02,4.32597215e-12,-2.51715528e-13,8.11319056e-13,3.26293757e-12
3.92800000e-05,7.07040000e-02,4.32323682e-12,-2.38871132e-13,8.26859164e-13,3.25750652e-12
4.02800000e-05,7.25040000e-02,4.32045800e-12,-2.25295534e-13,8.43201363e-13,3.25196110e-12
4.12800000e-05,7.43040000e-02,4.31781466e-12,-2.10925937e-13,8.60354994e-13,3.24653373e-12
4.22800000e-05,7.61040000e-02,4.31512893e-12,-1.95740675e-13,8.78396721e-13,3.24099153e-12
4.32800000e-05,7.79040000e-02,4.31257978e-12,-1.79672329e-13,8.97340533e-13,3.23556692e-12
4.42800000e-05,7.97040000e-02,4.30998938e-12,-1.62694358e-13,9.17267997e-13,3.23002703e-12
4.52800000e-05,8.15040000e-02,4.30753674e-12,-1.44734198e-13,9.38198267e-13,3.22460427e-12
4.62800000e-05,8.33040000e-02,4.30504403e-12,-1.25759887e-13,9.60218358e-13,3.21906579e-12
4.72800000e-05,8.51040000e-02,4.30269031e-12,-1.05693147e-13,9.83353168e-13,3.21364400e-12
4.82800000e-05,8.69040000e-02,4.30029779e-12,-8.44959871e-14,1.00769576e-12,3.20810604e-12
4.92800000e-05,8.87040000e-02,4.29804554e-12,-6.20837724e-14,1.03327743e-12,3.20268434e-12
5.02800000e-05,9.05040000e-02,4.29575581e-12,-3.84118107e-14,1.06019795e-12,3.19714604e-12
5.12800000e-05,9.23040000e-02,4.29360770e-12,-1.33884003e-14,1.08849572e-12,3.19172358e-12
5.22800000e-05,9.41040000e-02,4.29142348e-12,1.30386020e-14,1.11827800e-12,3.18618409e-12
5.32800000e-05,9.59040000e-02,4.28938231e-12,4.09687541e-14,1.14959104e-12,3.18076002e-12
5.42800000e-05,9.77040000e-02,4.28730647e-12,7.04624830e-14,1.18255044e-12,3.17521852e-12
5.52800000e-05,9.95040000e-02,4.28537516e-12,1.01628081e-13,1.21721122e-12,3.16979202e-12
5.62800000e-05,1.01304000e-01,4.28341070e-12,1.34535182e-13,1.25369818e-12,3.16424770e-12
5.72800000e-05,1.03104000e-01,4.28159230e-12,1.69301790e-13,1.29207610e-12,3.15881799e-12
5.82800000e-05,1.04904000e-01,4.27974233e-12,2.06007775e-13,1.33248005e-12,3.15327005e-12
5.92800000e-05,1.06704000e-01,4.27804004e-12,2.44781933e-13,1.37498562e-12,3.14783636e-12
6.02800000e-05,1.08504000e-01,4.27630784e-12,2.85715515e-13,1.41973929e-12,3.14228407e-12
6.12800000e-05,1.10304000e-01,4.27472500e-12,3.28949311e-13,1.46682866e-12,3.13684564e-12
6.22800000e-05,1.12104000e-01,4.27311396e-12,3.74587224e-13,1.51641291e-12,3.13128827e-12
6.32800000e-05,1.13904000e-01,4.27165403e-12,4.22783378e-13,1.56859300e-12,3.12584441e-12
6.42800000e-05,1.15704000e-01,4.27016770e-12,4.73655734e-13,1.62354218e-12,3.12028126e-12
6.52800000e-05,1.17504000e-01,4.26883432e-12,5.27373238e-13,1.68137626e-12,3.11483130e-12
6.62800000e-05,1.19304000e-01,4.26747640e-12,5.84069476e-13,1.74228415e-12,3.10926172e-12
6.72800000e-05,1.21104000e-01,4.26627332e-12,6.43929868e-13,1.80639816e-12,3.10380502e-12
6.82800000e-05,1.22904000e-01,4.26504764e-12,7.07105365e-13,1.87392460e-12,3.09822840e-12
