# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-12
# source: nfettrans.cir
# timestamp: 2026-01-23T21:26:08Z
time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,1.84334889e-12,3.33330698e-14,1.81001582e-12
1.00000000e-08,1.80000000e-05,4.46266413e-12,1.35568427e-12,5.43179187e-13,5.27516922e-12
2.00000000e-08,3.60000000e-05,4.46261696e-12,1.35569361e-12,5.43209331e-13,5.27510124e-12
4.00000000e-08,7.20000000e-05,4.46248900e-12,1.35571128e-12,5.43271593e-13,5.27492869e-12
8.00000000e-08,1.44000000e-04,4.46236108e-12,1.35576457e-12,5.43369488e-13,5.27475617e-12
1.60000000e-07,2.88000000e-04,4.46197742e-12,1.35585373e-12,5.43592549e-13,5.27423860e-12
3.20000000e-07,5.76000000e-04,4.46133867e-12,1.35605156e-12,5.44013981e-13,5.27337625e-12
6.40000000e-07,1.15200000e-03,4.45993563e-12,1.35643611e-12,5.44891942e-13,5.27147980e-12
1.28000000e-06,2.30400000e-03,4.45726721e-12,1.35725062e-12,5.46655078e-13,5.26786276e-12
2.28000000e-06,4.10400000e-03,4.45301651e-12,1.35858384e-12,5.49527302e-13,5.26207305e-12
3.28000000e-06,5.90400000e-03,4.44888906e-12,1.36002510e-12,5.52503465e-13,5.25641070e-12
4.28000000e-06,7.70400000e-03,4.44470658e-12,1.36155836e-12,5.55622146e-13,5.25064279e-12
5.28000000e-06,9.50400000e-03,4.44064764e-12,1.36321127e-12,5.58857184e-13,5.24500173e-12
6.28000000e-06,1.13040000e-02,4.43653399e-12,1.36496844e-12,5.62247817e-13,5.23925461e-12
7.28000000e-06,1.31040000e-02,4.43254422e-12,1.36685821e-12,5.65768580e-13,5.23363384e-12
8.28000000e-06,1.49040000e-02,4.42850007e-12,1.36886588e-12,5.69459443e-13,5.22790651e-12
9.28000000e-06,1.67040000e-02,4.42458018e-12,1.37102055e-12,5.73295714e-13,5.22230502e-12
1.02800000e-05,1.85040000e-02,4.42060629e-12,1.37330834e-12,5.77318180e-13,5.21659645e-12
1.12800000e-05,2.03040000e-02,4.41675705e-12,1.37575919e-12,5.81503006e-13,5.21101323e-12
1.22800000e-05,2.21040000e-02,4.41285423e-12,1.37836009e-12,5.85891884e-13,5.20532244e-12
1.32800000e-05,2.39040000e-02,4.40907649e-12,1.38114193e-12,5.90461933e-13,5.19975649e-12
1.42800000e-05,2.57040000e-02,4.40524563e-12,1.38409269e-12,5.95255852e-13,5.19408247e-12
1.52800000e-05,2.75040000e-02,4.40154031e-12,1.38724429e-12,6.00251820e-13,5.18853279e-12
1.62800000e-05,2.93040000e-02,4.39778236e-12,1.39058583e-12,6.05493653e-13,5.18287453e-12
