# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-10
# source: nfettrans.cir
# timestamp: 2026-01-23T18:14:05Z
time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,1.80043348e-10,3.33331833e-14,1.80010015e-10
1.00000000e-08,1.80000000e-05,4.46266414e-12,1.79555684e-10,5.43179305e-13,1.83475169e-10
2.00000000e-08,3.60000000e-05,4.46261697e-12,1.79555693e-10,5.43209449e-13,1.83475101e-10
4.00000000e-08,7.20000000e-05,4.46248900e-12,1.79555711e-10,5.43271711e-13,1.83474928e-10
8.00000000e-08,1.44000000e-04,4.46236109e-12,1.79555764e-10,5.43369606e-13,1.83474755e-10
1.60000000e-07,2.88000000e-04,4.46197742e-12,1.79555853e-10,5.43592668e-13,1.83474238e-10
3.20000000e-07,5.76000000e-04,4.46133868e-12,1.79556051e-10,5.44014100e-13,1.83473376e-10
6.40000000e-07,1.15200000e-03,4.45993564e-12,1.79556436e-10,5.44892060e-13,1.83471479e-10
1.28000000e-06,2.30400000e-03,4.45726722e-12,1.79557250e-10,5.46655196e-13,1.83467862e-10
2.28000000e-06,4.10400000e-03,4.45301652e-12,1.79558583e-10,5.49527420e-13,1.83462072e-10
3.28000000e-06,5.90400000e-03,4.44888907e-12,1.79560025e-10,5.52503583e-13,1.83456410e-10
4.28000000e-06,7.70400000e-03,4.44470658e-12,1.79561558e-10,5.55622265e-13,1.83450642e-10
5.28000000e-06,9.50400000e-03,4.44064765e-12,1.79563211e-10,5.58857303e-13,1.83445001e-10
6.28000000e-06,1.13040000e-02,4.43653400e-12,1.79564968e-10,5.62247936e-13,1.83439254e-10
7.28000000e-06,1.31040000e-02,4.43254422e-12,1.79566858e-10,5.65768698e-13,1.83433633e-10
8.28000000e-06,1.49040000e-02,4.42850008e-12,1.79568865e-10,5.69459562e-13,1.83427906e-10
9.28000000e-06,1.67040000e-02,4.42458018e-12,1.79571020e-10,5.73295833e-13,1.83422304e-10
1.02800000e-05,1.85040000e-02,4.42060630e-12,1.79573308e-10,5.77318299e-13,1.83416596e-10
1.12800000e-05,2.03040000e-02,4.41675705e-12,1.79575759e-10,5.81503124e-13,1.83411013e-10
1.22800000e-05,2.21040000e-02,4.41285424e-12,1.79578360e-10,5.85892002e-13,1.83405322e-10
1.32800000e-05,2.39040000e-02,4.40907650e-12,1.79581141e-10,5.90462052e-13,1.83399756e-10
1.42800000e-05,2.57040000e-02,4.40524564e-12,1.79584092e-10,5.95255971e-13,1.83394082e-10
1.52800000e-05,2.75040000e-02,4.40154032e-12,1.79587244e-10,6.00251939e-13,1.83388532e-10
1.62800000e-05,2.93040000e-02,4.39778236e-12,1.79590585e-10,6.05493772e-13,1.83382874e-10
1.72800000e-05,3.11040000e-02,4.39415046e-12,1.79594150e-10,6.10960829e-13,1.83377339e-10
1.82800000e-05,3.29040000e-02,4.39046644e-12,1.79597928e-10,6.16698165e-13,1.83371696e-10
1.92800000e-05,3.47040000e-02,4.38690902e-12,1.79601953e-10,6.22686449e-13,1.83366176e-10
2.02800000e-05,3.65040000e-02,4.38330004e-12,1.79606218e-10,6.28972118e-13,1.83360546e-10
2.12800000e-05,3.83040000e-02,4.37981824e-12,1.79610758e-10,6.35537295e-13,1.83355039e-10
2.22800000e-05,4.01040000e-02,4.37628550e-12,1.79615567e-10,6.42429951e-13,1.83349422e-10
2.32800000e-05,4.19040000e-02,4.37288055e-12,1.79620681e-10,6.49633824e-13,1.83343928e-10
2.42800000e-05,4.37040000e-02,4.36942531e-12,1.79626096e-10,6.57198591e-13,1.83338323e-10
2.52800000e-05,4.55040000e-02,4.36609852e-12,1.79631851e-10,6.65109787e-13,1.83332840e-10
2.62800000e-05,4.73040000e-02,4.36272213e-12,1.79637942e-10,6.73418983e-13,1.83327245e-10
2.72800000e-05,4.91040000e-02,4.35947491e-12,1.79644411e-10,6.82113712e-13,1.83321772e-10
2.82800000e-05,5.09040000e-02,4.35617880e-12,1.79651257e-10,6.91247648e-13,1.83316188e-10
