time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
4.32800000e-05,7.79040000e-02,4.31257978e-12,-1.63472329e-13,8.97340533e-13,3.25176692e-12
4.42800000e-05,7.97040000e-02,4.30998938e-12,-1.46494358e-13,9.17267997e-13,3.24622703e-12
4.52800000e-05,8.15040000e-02,4.30753674e-12,-1.28534197e-13,9.38198267e-13,3.24080427e-12
4.62800000e-05,8.33040000e-02,4.30504403e-12,-1.09559887e-13,9.60218358e-13,3.23526579e-12
4.72800000e-05,8.51040000e-02,4.30269031e-12,-8.94931469e-14,9.83353168e-13,3.22984400e-12
4.82800000e-05,8.69040000e-02,4.30029779e-12,-6.82959872e-14,1.00769576e-12,3.22430604e-12
4.92800000e-05,8.87040000e-02,4.29804554e-12,-4.58837723e-14,1.03327743e-12,3.21888434e-12
5.02800000e-05,9.05040000e-02,4.29575581e-12,-2.22118108e-14,1.06019795e-12,3.21334604e-12
5.12800000e-05,9.23040000e-02,4.29360770e-12,2.81159977e-15,1.08849572e-12,3.20792358e-12
5.22800000e-05,9.41040000e-02,4.29142348e-12,2.92386019e-14,1.11827800e-12,3.20238409e-12
5.32800000e-05,9.59040000e-02,4.28938231e-12,5.71687542e-14,1.14959104e-12,3.19696002e-12
5.42800000e-05,9.77040000e-02,4.28730647e-12,8.66624829e-14,1.18255044e-12,3.19141852e-12
5.52800000e-05,9.95040000e-02,4.28537516e-12,1.17828081e-13,1.21721122e-12,3.18599202e-12
5.62800000e-05,1.01304000e-01,4.28341070e-12,1.50735182e-13,1.25369818e-12,3.18044770e-12
5.72800000e-05,1.03104000e-01,4.28159230e-12,1.85501790e-13,1.29207610e-12,3.17501799e-12
5.82800000e-05,1.04904000e-01,4.27974233e-12,2.22207775e-13,1.33248005e-12,3.16947005e-12
5.92800000e-05,1.06704000e-01,4.27804004e-12,2.60981933e-13,1.37498562e-12,3.16403636e-12
6.02800000e-05,1.08504000e-01,4.27630784e-12,3.01915514e-13,1.41973929e-12,3.15848407e-12
6.12800000e-05,1.10304000e-01,4.27472500e-12,3.45149312e-13,1.46682866e-12,3.15304564e-12
6.22800000e-05,1.12104000e-01,4.27311396e-12,3.90787224e-13,1.51641291e-12,3.14748827e-12
6.32800000e-05,1.13904000e-01,4.27165403e-12,4.38983378e-13,1.56859300e-12,3.14204441e-12
6.42800000e-05,1.15704000e-01,4.27016770e-12,4.89855734e-13,1.62354218e-12,3.13648126e-12
6.52800000e-05,1.17504000e-01,4.26883432e-12,5.43573238e-13,1.68137626e-12,3.13103130e-12
6.62800000e-05,1.19304000e-01,4.26747640e-12,6.00269476e-13,1.74228415e-12,3.12546172e-12
6.72800000e-05,1.21104000e-01,4.26627332e-12,6.60129868e-13,1.80639816e-12,3.12000502e-12
