# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-10
# source: nfetdc.cir
# timestamp: 2026-01-24T17:35:27Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,1.80043348e-10,3.33331833e-14,1.80010015e-10
1.00000000e-03,1.00000000e-03,-0.00000000e+00,1.80044333e-10,3.43177517e-14,1.80010016e-10
2.00000000e-03,2.00000000e-03,-0.00000000e+00,1.80045378e-10,3.53616369e-14,1.80010016e-10
3.00000000e-03,3.00000000e-03,-0.00000000e+00,1.80046438e-10,3.64216877e-14,1.80010017e-10
4.00000000e-03,4.00000000e-03,-0.00000000e+00,1.80047531e-10,3.75135114e-14,1.80010017e-10
5.00000000e-03,5.00000000e-03,-0.00000000e+00,1.80048656e-10,3.86380602e-14,1.80010018e-10
6.00000000e-03,6.00000000e-03,-0.00000000e+00,1.80049815e-10,3.97963147e-14,1.80010018e-10
7.00000000e-03,7.00000000e-03,-0.00000000e+00,1.80051008e-10,4.09892849e-14,1.80010019e-10
8.00000000e-03,8.00000000e-03,-0.00000000e+00,1.80052237e-10,4.22180111e-14,1.80010019e-10
9.00000000e-03,9.00000000e-03,-0.00000000e+00,1.80053504e-10,4.34835647e-14,1.80010020e-10
1.00000000e-02,1.00000000e-02,-0.00000000e+00,1.80054808e-10,4.47870492e-14,1.80010021e-10
1.10000000e-02,1.10000000e-02,-0.00000000e+00,1.80056151e-10,4.61296013e-14,1.80010021e-10
1.20000000e-02,1.20000000e-02,-0.00000000e+00,1.80057534e-10,4.75123915e-14,1.80010022e-10
1.30000000e-02,1.30000000e-02,-0.00000000e+00,1.80058959e-10,4.89366255e-14,1.80010023e-10
1.40000000e-02,1.40000000e-02,-0.00000000e+00,1.80060427e-10,5.04035451e-14,1.80010023e-10
1.50000000e-02,1.50000000e-02,-0.00000000e+00,1.80061938e-10,5.19144294e-14,1.80010024e-10
1.60000000e-02,1.60000000e-02,-0.00000000e+00,1.80063495e-10,5.34705956e-14,1.80010025e-10
1.70000000e-02,1.70000000e-02,-0.00000000e+00,1.80065099e-10,5.50734004e-14,1.80010025e-10
1.80000000e-02,1.80000000e-02,-0.00000000e+00,1.80066750e-10,5.67242413e-14,1.80010026e-10
1.90000000e-02,1.90000000e-02,-0.00000000e+00,1.80068452e-10,5.84245575e-14,1.80010027e-10
2.00000000e-02,2.00000000e-02,-0.00000000e+00,1.80070204e-10,6.01758314e-14,1.80010028e-10
2.10000000e-02,2.10000000e-02,-0.00000000e+00,1.80072008e-10,6.19795896e-14,1.80010029e-10
2.20000000e-02,2.20000000e-02,-0.00000000e+00,1.80073867e-10,6.38374047e-14,1.80010030e-10
2.30000000e-02,2.30000000e-02,-0.00000000e+00,1.80075781e-10,6.57508962e-14,1.80010031e-10
2.40000000e-02,2.40000000e-02,-0.00000000e+00,1.80077753e-10,6.77217322e-14,1.80010031e-10
2.50000000e-02,2.50000000e-02,-0.00000000e+00,1.80079784e-10,6.97516306e-14,1.80010032e-10
2.60000000e-02,2.60000000e-02,-0.00000000e+00,1.80081876e-10,7.18423609e-14,1.80010033e-10
2.70000000e-02,2.70000000e-02,-0.00000000e+00,1.80084030e-10,7.39957456e-14,1.80010034e-10
2.80000000e-02,2.80000000e-02,-0.00000000e+00,1.80086249e-10,7.62136617e-14,1.80010035e-10
2.90000000e-02,2.90000000e-02,-0.00000000e+00,1.80088535e-10,7.84980423e-14,1.80010037e-10
3.00000000e-02,3.00000000e-02,-0.00000000e+00,1.80090889e-10,8.08508786e-14,1.80010038e-10
3.10000000e-02,3.10000000e-02,-0.00000000e+00,1.80093313e-10,8.32742213e-14,1.80010039e-10
3.20000000e-02,3.20000000e-02,-0.00000000e+00,1.80095810e-10,8.57701825e-14,1.80010040e-10
3.30000000e-02,3.30000000e-02,-0.00000000e+00,1.80098382e-10,8.83409376e-14,1.80010041e-10
3.40000000e-02,3.40000000e-02,-0.00000000e+00,1.80101031e-10,9.09887271e-14,1.80010043e-10
3.50000000e-02,3.50000000e-02,-0.00000000e+00,1.80103760e-10,9.37158586e-14,1.80010044e-10
3.60000000e-02,3.60000000e-02,-0.00000000e+00,1.80106570e-10,9.65247086e-14,1.80010045e-10
3.70000000e-02,3.70000000e-02,-0.00000000e+00,1.80109464e-10,9.94177251e-14,1.80010047e-10
3.80000000e-02,3.80000000e-02,-0.00000000e+00,1.80112445e-10,1.02397429e-13,1.80010048e-10
3.90000000e-02,3.90000000e-02,-0.00000000e+00,1.80115516e-10,1.05466417e-13,1.80010049e-10
4.00000000e-02,4.00000000e-02,-0.00000000e+00,1.80118678e-10,1.08627364e-13,1.80010051e-10
4.10000000e-02,4.10000000e-02,-0.00000000e+00,1.80121935e-10,1.11883023e-13,1.80010052e-10
4.20000000e-02,4.20000000e-02,-0.00000000e+00,1.80125290e-10,1.15236232e-13,1.80010054e-10
4.30000000e-02,4.30000000e-02,-0.00000000e+00,1.80128746e-10,1.18689912e-13,1.80010056e-10
4.40000000e-02,4.40000000e-02,-0.00000000e+00,1.80132304e-10,1.22247073e-13,1.80010057e-10
