# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-12
# source: nfetdc.cir
# timestamp: 2026-01-24T17:34:34Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,1.84334889e-12,3.33330698e-14,1.81001582e-12
1.00000000e-03,1.00000000e-03,-0.00000000e+00,1.84433392e-12,3.43176382e-14,1.81001629e-12
2.00000000e-03,2.00000000e-03,-0.00000000e+00,1.84537830e-12,3.53615233e-14,1.81001678e-12
3.00000000e-03,3.00000000e-03,-0.00000000e+00,1.84643886e-12,3.64215741e-14,1.81001728e-12
4.00000000e-03,4.00000000e-03,-0.00000000e+00,1.84753120e-12,3.75133978e-14,1.81001780e-12
5.00000000e-03,5.00000000e-03,-0.00000000e+00,1.84865628e-12,3.86379466e-14,1.81001834e-12
6.00000000e-03,6.00000000e-03,-0.00000000e+00,1.84981509e-12,3.97962011e-14,1.81001889e-12
7.00000000e-03,7.00000000e-03,-0.00000000e+00,1.85100862e-12,4.09891712e-14,1.81001945e-12
8.00000000e-03,8.00000000e-03,-0.00000000e+00,1.85223793e-12,4.22178974e-14,1.81002004e-12
9.00000000e-03,9.00000000e-03,-0.00000000e+00,1.85350409e-12,4.34834510e-14,1.81002064e-12
1.00000000e-02,1.00000000e-02,-0.00000000e+00,1.85480819e-12,4.47869355e-14,1.81002125e-12
1.10000000e-02,1.10000000e-02,-0.00000000e+00,1.85615138e-12,4.61294875e-14,1.81002189e-12
1.20000000e-02,1.20000000e-02,-0.00000000e+00,1.85753483e-12,4.75122777e-14,1.81002255e-12
1.30000000e-02,1.30000000e-02,-0.00000000e+00,1.85895974e-12,4.89365117e-14,1.81002322e-12
1.40000000e-02,1.40000000e-02,-0.00000000e+00,1.86042735e-12,5.04034313e-14,1.81002392e-12
1.50000000e-02,1.50000000e-02,-0.00000000e+00,1.86193895e-12,5.19143155e-14,1.81002464e-12
1.60000000e-02,1.60000000e-02,-0.00000000e+00,1.86349586e-12,5.34704817e-14,1.81002538e-12
1.70000000e-02,1.70000000e-02,-0.00000000e+00,1.86509942e-12,5.50732865e-14,1.81002614e-12
1.80000000e-02,1.80000000e-02,-0.00000000e+00,1.86675105e-12,5.67241274e-14,1.81002692e-12
1.90000000e-02,1.90000000e-02,-0.00000000e+00,1.86845217e-12,5.84244436e-14,1.81002773e-12
2.00000000e-02,2.00000000e-02,-0.00000000e+00,1.87020428e-12,6.01757174e-14,1.81002856e-12
2.10000000e-02,2.10000000e-02,-0.00000000e+00,1.87200889e-12,6.19794756e-14,1.81002941e-12
2.20000000e-02,2.20000000e-02,-0.00000000e+00,1.87386759e-12,6.38372907e-14,1.81003030e-12
2.30000000e-02,2.30000000e-02,-0.00000000e+00,1.87578199e-12,6.57507821e-14,1.81003120e-12
2.40000000e-02,2.40000000e-02,-0.00000000e+00,1.87775376e-12,6.77216180e-14,1.81003214e-12
2.50000000e-02,2.50000000e-02,-0.00000000e+00,1.87978462e-12,6.97515164e-14,1.81003310e-12
2.60000000e-02,2.60000000e-02,-0.00000000e+00,1.88187634e-12,7.18422467e-14,1.81003409e-12
2.70000000e-02,2.70000000e-02,-0.00000000e+00,1.88403075e-12,7.39956313e-14,1.81003512e-12
2.80000000e-02,2.80000000e-02,-0.00000000e+00,1.88624972e-12,7.62135473e-14,1.81003617e-12
2.90000000e-02,2.90000000e-02,-0.00000000e+00,1.88853518e-12,7.84979279e-14,1.81003725e-12
3.00000000e-02,3.00000000e-02,-0.00000000e+00,1.89088913e-12,8.08507642e-14,1.81003837e-12
3.10000000e-02,3.10000000e-02,-0.00000000e+00,1.89331363e-12,8.32741068e-14,1.81003952e-12
3.20000000e-02,3.20000000e-02,-0.00000000e+00,1.89581077e-12,8.57700680e-14,1.81004070e-12
3.30000000e-02,3.30000000e-02,-0.00000000e+00,1.89838275e-12,8.83408231e-14,1.81004192e-12
3.40000000e-02,3.40000000e-02,-0.00000000e+00,1.90103179e-12,9.09886125e-14,1.81004318e-12
3.50000000e-02,3.50000000e-02,-0.00000000e+00,1.90376022e-12,9.37157439e-14,1.81004447e-12
