# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-15
# source: nfetdc.cir
# timestamp: 2026-01-28T20:31:21Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
0.00000000e+00,-0.00000000e+00,-0.00000000e+00,4.51488888e-14,3.33330698e-14,1.18158190e-14
1.00000000e-03,1.00000000e-03,-0.00000000e+00,4.61339244e-14,3.43176382e-14,1.18162862e-14
2.00000000e-03,2.00000000e-03,-0.00000000e+00,4.71783049e-14,3.53615233e-14,1.18167816e-14
3.00000000e-03,3.00000000e-03,-0.00000000e+00,4.82388588e-14,3.64215741e-14,1.18172847e-14
4.00000000e-03,4.00000000e-03,-0.00000000e+00,4.93312006e-14,3.75133978e-14,1.18178028e-14
5.00000000e-03,5.00000000e-03,-0.00000000e+00,5.04562831e-14,3.86379466e-14,1.18183365e-14
6.00000000e-03,6.00000000e-03,-0.00000000e+00,5.16150872e-14,3.97962010e-14,1.18188862e-14
7.00000000e-03,7.00000000e-03,-0.00000000e+00,5.28086236e-14,4.09891712e-14,1.18194523e-14
8.00000000e-03,8.00000000e-03,-0.00000000e+00,5.40379328e-14,4.22178974e-14,1.18200355e-14
9.00000000e-03,9.00000000e-03,-0.00000000e+00,5.53040870e-14,4.34834510e-14,1.18206361e-14
1.00000000e-02,1.00000000e-02,-0.00000000e+00,5.66081901e-14,4.47869355e-14,1.18212547e-14
1.10000000e-02,1.10000000e-02,-0.00000000e+00,5.79513793e-14,4.61294875e-14,1.18218918e-14
1.20000000e-02,1.20000000e-02,-0.00000000e+00,5.93348257e-14,4.75122777e-14,1.18225480e-14
1.30000000e-02,1.30000000e-02,-0.00000000e+00,6.07597356e-14,4.89365117e-14,1.18232239e-14
1.40000000e-02,1.40000000e-02,-0.00000000e+00,6.22273514e-14,5.04034313e-14,1.18239201e-14
1.50000000e-02,1.50000000e-02,-0.00000000e+00,6.37389526e-14,5.19143155e-14,1.18246371e-14
1.60000000e-02,1.60000000e-02,-0.00000000e+00,6.52958573e-14,5.34704817e-14,1.18253756e-14
1.70000000e-02,1.70000000e-02,-0.00000000e+00,6.68994228e-14,5.50732865e-14,1.18261363e-14
1.80000000e-02,1.80000000e-02,-0.00000000e+00,6.85510471e-14,5.67241274e-14,1.18269197e-14
1.90000000e-02,1.90000000e-02,-0.00000000e+00,7.02521702e-14,5.84244435e-14,1.18277266e-14
2.00000000e-02,2.00000000e-02,-0.00000000e+00,7.20042751e-14,6.01757174e-14,1.18285578e-14
2.10000000e-02,2.10000000e-02,-0.00000000e+00,7.38088893e-14,6.19794756e-14,1.18294138e-14
2.20000000e-02,2.20000000e-02,-0.00000000e+00,7.56675861e-14,6.38372906e-14,1.18302954e-14
2.30000000e-02,2.30000000e-02,-0.00000000e+00,7.75819856e-14,6.57507821e-14,1.18312035e-14
2.40000000e-02,2.40000000e-02,-0.00000000e+00,7.95537568e-14,6.77216180e-14,1.18321388e-14
2.50000000e-02,2.50000000e-02,-0.00000000e+00,8.15846186e-14,6.97515164e-14,1.18331022e-14
2.60000000e-02,2.60000000e-02,-0.00000000e+00,8.36763410e-14,7.18422467e-14,1.18340944e-14
2.70000000e-02,2.70000000e-02,-0.00000000e+00,8.58307476e-14,7.39956313e-14,1.18351163e-14
2.80000000e-02,2.80000000e-02,-0.00000000e+00,8.80497162e-14,7.62135473e-14,1.18361689e-14
2.90000000e-02,2.90000000e-02,-0.00000000e+00,9.03351809e-14,7.84979279e-14,1.18372530e-14
3.00000000e-02,3.00000000e-02,-0.00000000e+00,9.26891337e-14,8.08507641e-14,1.18383696e-14
3.10000000e-02,3.10000000e-02,-0.00000000e+00,9.51136264e-14,8.32741068e-14,1.18395196e-14
3.20000000e-02,3.20000000e-02,-0.00000000e+00,9.76107721e-14,8.57700680e-14,1.18407041e-14
3.30000000e-02,3.30000000e-02,-0.00000000e+00,1.00182747e-13,8.83408230e-14,1.18419241e-14
3.40000000e-02,3.40000000e-02,-0.00000000e+00,1.02831793e-13,9.09886125e-14,1.18431807e-14
3.50000000e-02,3.50000000e-02,-0.00000000e+00,1.05560219e-13,9.37157439e-14,1.18444749e-14
3.60000000e-02,3.60000000e-02,-0.00000000e+00,1.08370402e-13,9.65245939e-14,1.18458079e-14
3.70000000e-02,3.70000000e-02,-0.00000000e+00,1.11264791e-13,9.94176103e-14,1.18471809e-14
3.80000000e-02,3.80000000e-02,-0.00000000e+00,1.14245909e-13,1.02397314e-13,1.18485950e-14
3.90000000e-02,3.90000000e-02,-0.00000000e+00,1.17316354e-13,1.05466302e-13,1.18500514e-14
4.00000000e-02,4.00000000e-02,-0.00000000e+00,1.20478800e-13,1.08627249e-13,1.18515515e-14
4.10000000e-02,4.10000000e-02,-0.00000000e+00,1.23736005e-13,1.11882908e-13,1.18530966e-14
4.20000000e-02,4.20000000e-02,-0.00000000e+00,1.27090805e-13,1.15236117e-13,1.18546879e-14
4.30000000e-02,4.30000000e-02,-0.00000000e+00,1.30546124e-13,1.18689797e-13,1.18563269e-14
4.40000000e-02,4.40000000e-02,-0.00000000e+00,1.34104973e-13,1.22246958e-13,1.18580151e-14
4.50000000e-02,4.50000000e-02,-0.00000000e+00,1.37770452e-13,1.25910698e-13,1.18597538e-14
4.60000000e-02,4.60000000e-02,-0.00000000e+00,1.41545755e-13,1.29684210e-13,1.18615446e-14
4.70000000e-02,4.70000000e-02,-0.00000000e+00,1.45434171e-13,1.33570782e-13,1.18633890e-14
4.80000000e-02,4.80000000e-02,-0.00000000e+00,1.49439087e-13,1.37573799e-13,1.18652888e-14
4.90000000e-02,4.90000000e-02,-0.00000000e+00,1.53563993e-13,1.41696748e-13,1.18672454e-14
5.00000000e-02,5.00000000e-02,-0.00000000e+00,1.57812482e-13,1.45943222e-13,1.18692607e-14
