# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-14
# source: nfetdc.cir
# timestamp: 2026-01-24T17:33:51Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
5.60000000e-02,5.60000000e-02,-0.00000000e+00,2.02313850e-13,1.74231164e-13,2.80826854e-14
5.70000000e-02,5.70000000e-02,-0.00000000e+00,2.07537484e-13,1.79452321e-13,2.80851632e-14
5.80000000e-02,5.80000000e-02,-0.00000000e+00,2.12917603e-13,1.84829888e-13,2.80877152e-14
5.90000000e-02,5.90000000e-02,-0.00000000e+00,2.18458891e-13,1.90368547e-13,2.80903437e-14
6.00000000e-02,6.00000000e-02,-0.00000000e+00,2.24166174e-13,1.96073123e-13,2.80930509e-14
6.10000000e-02,6.10000000e-02,-0.00000000e+00,2.30044421e-13,2.01948582e-13,2.80958393e-14
6.20000000e-02,6.20000000e-02,-0.00000000e+00,2.36098753e-13,2.08000042e-13,2.80987111e-14
6.30000000e-02,6.30000000e-02,-0.00000000e+00,2.42334440e-13,2.14232771e-13,2.81016690e-14
6.40000000e-02,6.40000000e-02,-0.00000000e+00,2.48756911e-13,2.20652196e-13,2.81047155e-14
6.50000000e-02,6.50000000e-02,-0.00000000e+00,2.55371760e-13,2.27263907e-13,2.81078532e-14
6.60000000e-02,6.60000000e-02,-0.00000000e+00,2.62184745e-13,2.34073660e-13,2.81110850e-14
6.70000000e-02,6.70000000e-02,-0.00000000e+00,2.69201797e-13,2.41087383e-13,2.81144135e-14
6.80000000e-02,6.80000000e-02,-0.00000000e+00,2.76429025e-13,2.48311184e-13,2.81178417e-14
6.90000000e-02,6.90000000e-02,-0.00000000e+00,2.83872722e-13,2.55751349e-13,2.81213726e-14
7.00000000e-02,7.00000000e-02,-0.00000000e+00,2.91539366e-13,2.63414357e-13,2.81250093e-14
7.10000000e-02,7.10000000e-02,-0.00000000e+00,2.99435632e-13,2.71306877e-13,2.81287548e-14
7.20000000e-02,7.20000000e-02,-0.00000000e+00,3.07568392e-13,2.79435780e-13,2.81326126e-14
7.30000000e-02,7.30000000e-02,-0.00000000e+00,3.15944726e-13,2.87808140e-13,2.81365859e-14
7.40000000e-02,7.40000000e-02,-0.00000000e+00,3.24571922e-13,2.96431244e-13,2.81406782e-14
7.50000000e-02,7.50000000e-02,-0.00000000e+00,3.33457491e-13,3.05312598e-13,2.81448930e-14
7.60000000e-02,7.60000000e-02,-0.00000000e+00,3.42609165e-13,3.14459931e-13,2.81492341e-14
7.70000000e-02,7.70000000e-02,-0.00000000e+00,3.52034907e-13,3.23881202e-13,2.81537052e-14
7.80000000e-02,7.80000000e-02,-0.00000000e+00,3.61742921e-13,3.33584610e-13,2.81583101e-14
7.90000000e-02,7.90000000e-02,-0.00000000e+00,3.71741653e-13,3.43578600e-13,2.81630530e-14
8.00000000e-02,8.00000000e-02,-0.00000000e+00,3.82039803e-13,3.53871865e-13,2.81679379e-14
8.10000000e-02,8.10000000e-02,-0.00000000e+00,3.92646332e-13,3.64473363e-13,2.81729691e-14
8.20000000e-02,8.20000000e-02,-0.00000000e+00,4.03570468e-13,3.75392317e-13,2.81781509e-14
8.30000000e-02,8.30000000e-02,-0.00000000e+00,4.14821714e-13,3.86638226e-13,2.81834879e-14
8.40000000e-02,8.40000000e-02,-0.00000000e+00,4.26409857e-13,3.98220873e-13,2.81889847e-14
8.50000000e-02,8.50000000e-02,-0.00000000e+00,4.38344980e-13,4.10150334e-13,2.81946461e-14
8.60000000e-02,8.60000000e-02,-0.00000000e+00,4.50637462e-13,4.22436985e-13,2.82004770e-14
8.70000000e-02,8.70000000e-02,-0.00000000e+00,4.63297997e-13,4.35091514e-13,2.82064825e-14
8.80000000e-02,8.80000000e-02,-0.00000000e+00,4.76337595e-13,4.48124927e-13,2.82126678e-14
8.90000000e-02,8.90000000e-02,-0.00000000e+00,4.89767597e-13,4.61548559e-13,2.82190383e-14
9.00000000e-02,9.00000000e-02,-0.00000000e+00,5.03599683e-13,4.75374083e-13,2.82255995e-14
9.10000000e-02,9.10000000e-02,-0.00000000e+00,5.17845880e-13,4.89613523e-13,2.82323572e-14
9.20000000e-02,9.20000000e-02,-0.00000000e+00,5.32518577e-13,5.04279260e-13,2.82393171e-14
9.30000000e-02,9.30000000e-02,-0.00000000e+00,5.47630532e-13,5.19384047e-13,2.82464854e-14
9.40000000e-02,9.40000000e-02,-0.00000000e+00,5.63194884e-13,5.34941015e-13,2.82538683e-14
9.50000000e-02,9.50000000e-02,-0.00000000e+00,5.79225163e-13,5.50963691e-13,2.82614723e-14
9.60000000e-02,9.60000000e-02,-0.00000000e+00,5.95735306e-13,5.67466003e-13,2.82693038e-14
9.70000000e-02,9.70000000e-02,-0.00000000e+00,6.12739666e-13,5.84462296e-13,2.82773698e-14
9.80000000e-02,9.80000000e-02,-0.00000000e+00,6.30253022e-13,6.01967345e-13,2.82856772e-14
9.90000000e-02,9.90000000e-02,-0.00000000e+00,6.48290597e-13,6.19996364e-13,2.82942333e-14
1.00000000e-01,1.00000000e-01,-0.00000000e+00,6.66868068e-13,6.38565023e-13,2.83030454e-14
1.01000000e-01,1.01000000e-01,-0.00000000e+00,6.86001579e-13,6.57689458e-13,2.83121214e-14
1.02000000e-01,1.02000000e-01,-0.00000000e+00,7.05707759e-13,6.77386290e-13,2.83214690e-14
1.03000000e-01,1.03000000e-01,-0.00000000e+00,7.26003730e-13,6.97672633e-13,2.83310963e-14
1.04000000e-01,1.04000000e-01,-0.00000000e+00,7.46907127e-13,7.18566115e-13,2.83410118e-14
