 v-sweep         v(ng)           i(Vd_sat)      
 9.20000000e-02  9.20000000e-02 -2.31451858e-12 
 9.30000000e-02  9.30000000e-02 -2.32963053e-12 
 9.40000000e-02  9.40000000e-02 -2.34519488e-12 
 9.50000000e-02  9.50000000e-02 -2.36122516e-12 
 9.60000000e-02  9.60000000e-02 -2.37773531e-12 
 9.70000000e-02  9.70000000e-02 -2.39473967e-12 
 9.80000000e-02  9.80000000e-02 -2.41225302e-12 
 9.90000000e-02  9.90000000e-02 -2.43029060e-12 
 1.00000000e-01  1.00000000e-01 -2.44886807e-12 
 1.01000000e-01  1.01000000e-01 -2.46800158e-12 
 1.02000000e-01  1.02000000e-01 -2.48770776e-12 
 1.03000000e-01  1.03000000e-01 -2.50800373e-12 
 1.04000000e-01  1.04000000e-01 -2.52890713e-12 
 1.05000000e-01  1.05000000e-01 -2.55043611e-12 
 1.06000000e-01  1.06000000e-01 -2.57260939e-12 
 1.07000000e-01  1.07000000e-01 -2.59544622e-12 
 1.08000000e-01  1.08000000e-01 -2.61896643e-12 
 1.09000000e-01  1.09000000e-01 -2.64319047e-12 
 1.10000000e-01  1.10000000e-01 -2.66813937e-12 
 1.11000000e-01  1.11000000e-01 -2.69383479e-12 
 1.12000000e-01  1.12000000e-01 -2.72029904e-12 
 1.13000000e-01  1.13000000e-01 -2.74755512e-12 
 1.14000000e-01  1.14000000e-01 -2.77562667e-12 
 1.15000000e-01  1.15000000e-01 -2.80453808e-12 
 1.16000000e-01  1.16000000e-01 -2.83431443e-12 
 1.17000000e-01  1.17000000e-01 -2.86498159e-12 
 1.18000000e-01  1.18000000e-01 -2.89656615e-12 
 1.19000000e-01  1.19000000e-01 -2.92909554e-12 
 1.20000000e-01  1.20000000e-01 -2.96259798e-12 
 1.21000000e-01  1.21000000e-01 -2.99710255e-12 
 1.22000000e-01  1.22000000e-01 -3.03263918e-12 
 1.23000000e-01  1.23000000e-01 -3.06923870e-12 
 1.24000000e-01  1.24000000e-01 -3.10693286e-12 
 1.25000000e-01  1.25000000e-01 -3.14575436e-12 
 1.26000000e-01  1.26000000e-01 -3.18573686e-12 
 1.27000000e-01  1.27000000e-01 -3.22691505e-12 
 1.28000000e-01  1.28000000e-01 -3.26932462e-12 
 1.29000000e-01  1.29000000e-01 -3.31300236e-12 
 1.30000000e-01  1.30000000e-01 -3.35798612e-12 
 1.31000000e-01  1.31000000e-01 -3.40431491e-12 
 1.32000000e-01  1.32000000e-01 -3.45202888e-12 
 1.33000000e-01  1.33000000e-01 -3.50116938e-12 
 1.34000000e-01  1.34000000e-01 -3.55177901e-12 
 1.35000000e-01  1.35000000e-01 -3.60390160e-12 
 1.36000000e-01  1.36000000e-01 -3.65758234e-12 
 1.37000000e-01  1.37000000e-01 -3.71286771e-12 
 1.38000000e-01  1.38000000e-01 -3.76980561e-12 
 1.39000000e-01  1.39000000e-01 -3.82844535e-12 
 1.40000000e-01  1.40000000e-01 -3.88883772e-12 
 1.41000000e-01  1.41000000e-01 -3.95103501e-12 
 1.42000000e-01  1.42000000e-01 -4.01509107e-12 
 1.43000000e-01  1.43000000e-01 -4.08106136e-12 
 1.44000000e-01  1.44000000e-01 -4.14900298e-12 
 1.45000000e-01  1.45000000e-01 -4.21897473e-12 
 1.46000000e-01  1.46000000e-01 -4.29103717e-12 
 1.47000000e-01  1.47000000e-01 -4.36525264e-12 
 1.48000000e-01  1.48000000e-01 -4.44168536e-12 
 1.49000000e-01  1.49000000e-01 -4.52040145e-12 
 1.50000000e-01  1.50000000e-01 -4.60146898e-12 
